simbolo,llr0,llr1,llr2,llr3
0,0.7539,2.6776,0.7539,-4.1422
1,-0.2702,1.6773,-0.2702,-3.3240
2,2.2994,2.2994,1.8895,-3.5838
3,1.9214,1.6033,1.6033,-3.5234
4,-1.4738,-1.4738,1.4738,-3.0430
5,-1.0208,0.9845,-0.9845,-4.7502
6,1.7226,1.9107,-1.9702,-3.4505
7,-0.3271,1.0073,-0.3271,-2.2856
8,-1.5588,1.5588,-2.1723,-2.3171
9,0.7042,-0.7042,-1.9682,-2.9255
10,1.1506,0.7642,-0.2409,-2.1846
11,1.3754,2.2250,1.7938,-4.4450
12,-1.5535,-1.5535,1.5535,-2.5404
13,1.1315,1.2454,-0.4030,-4.0346
14,0.4305,1.1667,0.4305,-2.7360
15,1.1184,0.8238,0.8238,-2.4086
16,-1.2939,0.8753,-0.6015,-3.2480
17,0.7457,1.8388,0.7457,-3.3506
18,0.7947,0.8001,0.8001,-1.5114
19,-1.1396,1.3653,-2.0856,-2.2874
20,-1.1335,1.4220,1.1335,-4.2894
21,1.3601,1.1639,1.1639,-2.7891
22,-1.4054,1.4008,1.4054,-3.5652
23,0.8386,1.0416,0.8386,-3.2135
24,-0.2791,-0.2791,0.2417,-1.8049
25,-0.6082,0.7328,0.7978,-2.7276
26,1.6896,1.6896,1.5668,-4.4253
27,-1.2267,1.1510,-0.7461,-3.2621
28,-0.7304,1.0447,-1.0447,-3.1471
29,0.5958,0.5958,-0.5958,-1.2075
30,0.9649,0.9649,-1.2806,-2.6992
31,0.1693,0.1693,-0.1693,-4.2448
32,-0.4344,0.7620,0.5402,-1.7419
33,-0.9378,-0.4243,0.7691,-1.7099
34,1.3486,0.3196,0.3196,-4.1056
35,0.7379,0.7065,0.7065,-2.9521
36,0.2266,1.4782,-0.3502,-3.0879
37,-0.4730,0.6738,-0.6738,-3.9317
38,0.5882,1.8517,0.9684,-2.3393
39,-1.7306,-1.0026,-1.7306,-2.5593
40,-0.4926,2.0006,0.9771,-2.5036
41,1.4704,-1.0746,-1.1735,-2.6278
42,1.3666,1.9093,1.6079,-3.7578
43,0.7293,0.9227,-0.7293,-1.1205
44,0.4603,0.5540,0.5540,-3.0945
45,1.2269,1.2269,1.5079,-3.0875
46,1.9814,-1.2097,-1.2097,-1.8936
47,0.1226,0.3306,0.1226,-1.8648
48,-0.2408,0.7952,0.2408,-2.3084
49,-1.1801,1.1801,1.1801,-2.9566
50,-1.1021,-0.6867,-0.3924,-2.1310
51,-0.5454,1.7025,-1.7025,-2.2587
52,0.7720,0.7720,1.0943,-0.9918
53,-0.2926,-0.2926,1.4155,-3.7371
54,1.4480,1.4480,-0.9699,-2.2494
55,0.4385,0.4385,1.5951,-3.0332
56,2.1112,1.8729,2.0977,-3.8847
57,-0.6347,-0.5927,0.9403,-1.4256
58,-0.9994,1.0798,-0.9994,-2.4578
59,0.8357,0.8357,2.2135,-2.7751
60,0.4474,0.4474,0.8740,-2.1162
61,0.8784,0.8784,-1.5498,-1.8280
62,0.3920,0.5074,0.3920,-4.1555
63,-1.1994,1.1994,1.1994,-1.8717
64,2.2618,1.5379,1.5379,-2.9101
65,-0.8872,0.8872,-0.6817,-1.8268
66,1.5383,1.2102,1.2102,-3.1274
67,-1.1316,-0.9088,1.1316,-1.9030
68,-1.3390,1.8883,-1.6647,-3.0402
69,-0.9235,0.8953,1.5598,-2.7735
70,-1.6776,0.5305,0.7866,-3.3687
71,1.4710,1.9122,1.0079,-1.7302
72,-0.9985,-0.9985,-0.9985,-1.9662
73,1.1658,1.2570,1.1658,-1.5003
74,1.0184,1.7481,1.2186,-3.3553
75,0.5931,0.5931,1.4161,-3.8709
76,-0.2309,1.3274,-0.4149,-2.8539
77,0.4014,0.6250,-0.4014,-2.6453
78,-1.0291,0.8557,-0.6340,-1.9433
79,1.7669,1.7669,2.3102,-2.4943
80,1.0442,1.0442,-1.0442,-2.8624
81,2.3175,2.1900,1.2276,-2.3625
82,-0.9050,2.6507,-2.2132,-2.8402
83,-1.2371,-1.2371,-0.6081,-2.6366
84,1.1411,1.5786,1.5786,-1.4129
85,-0.8327,0.8327,0.9456,-1.6504
86,1.5047,2.1122,2.3449,-2.4249
87,1.5807,1.3811,0.7888,-2.5422
88,0.5732,1.8415,0.5732,-2.1107
89,0.7967,1.2996,0.7967,-2.6754
90,-0.5713,1.8034,-0.5713,-2.2389
91,-0.6688,-0.3497,-0.2733,-0.6688
92,0.7690,0.7690,0.7842,-1.7324
93,-0.2987,0.4287,-0.2987,-1.6077
94,1.3966,0.7711,0.7711,-2.6299
95,-0.5733,2.0707,-0.5733,-2.3194
96,-0.8558,-0.8558,0.8558,-2.3062
97,-0.3130,0.3130,0.4168,-2.1192
98,1.2424,-1.2424,-1.2424,-1.9736
99,-0.7978,0.7978,-0.7978,-1.2362
100,-1.0379,1.0379,-1.0379,-1.3096
101,0.3867,1.2922,0.7354,-2.5290
102,-0.5700,1.8235,-0.5700,-2.1349
103,-0.4693,-0.7229,-0.7229,-1.5346
104,0.5066,0.5066,-0.5066,-0.9423
105,0.4109,0.4109,0.4109,-1.6975
106,0.4869,-0.4869,-0.4869,-1.9232
107,2.2614,3.4480,2.7457,-3.6667
108,1.1766,-0.6928,-1.4459,-2.2195
109,0.3338,0.8888,0.3338,-1.4479
110,0.4941,0.4941,0.4941,-2.2829
111,-1.1067,-0.7689,-1.1067,-1.7203
112,1.1433,0.8497,0.8497,-1.7505
113,-1.0050,0.9836,0.9836,-2.0060
114,0.5473,1.2520,0.5473,-1.2520
115,2.1716,2.1716,1.8178,-2.8400
116,-1.1315,-1.1315,-1.2817,-2.1958
117,-1.2138,1.0503,1.3498,-1.2642
118,-0.5762,-1.1159,-0.5762,-1.1649
119,1.9002,1.5051,1.1903,-1.9457
120,1.5290,1.5028,1.5464,-2.0478
121,0.7420,0.7420,0.7420,-1.1855
122,1.1233,1.3388,-0.9074,-1.2105
123,1.5664,0.9067,0.5975,0.5975
124,3.0732,2.9187,3.1399,2.9187
125,-2.7827,-2.9693,-2.9693,-2.9693
126,2.0285,2.0771,2.0771,2.0771
127,-2.5144,-2.7023,-3.8254,-4.4526
128,2.2484,2.2484,2.2484,2.2484
129,-2.7427,-2.2574,-2.9041,-2.9041
130,2.7677,2.7677,2.7677,2.7677
131,-2.9716,-2.9716,-2.9716,-3.1345
132,-1.9275,-1.9275,-1.9275,-1.9275
133,-3.8384,-3.8384,-3.8384,-4.0663
134,-2.8147,-2.8147,-2.8147,-2.8147
135,-4.5994,-4.5994,-5.9383,-5.8824
136,-3.3936,-3.2833,-3.2833,-3.0838
137,-5.0679,-5.0679,-5.2628,-5.0679
138,-4.0836,-4.0836,-4.2675,-4.2675
139,-5.6647,-6.2034,-6.6767,-6.7726
140,-4.5553,-4.4831,-4.4831,-4.3100
141,-5.6982,-5.6982,-5.8165,-5.6982
142,-4.4755,-4.5648,-5.0243,-4.4755
143,-6.2879,-7.2467,-7.2957,-7.6284
144,-4.9650,-4.9650,-5.3561,-5.2908
145,-6.1385,-6.1385,-6.2549,-6.1385
146,-4.7819,-4.7819,-5.5446,-4.7995
147,-6.7467,-7.6397,-7.4223,-8.3399
148,-5.1164,-5.1164,-5.7898,-5.8346
149,-6.3867,-6.3867,-6.5326,-6.3867
150,-5.1094,-5.1094,-6.0788,-5.2975
151,-7.0647,-7.5654,-7.1954,-7.0647
152,-5.3554,-5.3554,-6.0634,-5.4806
153,-6.5396,-6.5396,-6.7405,-6.5396
154,-5.5904,-6.3503,-5.5514,-5.5514
155,-6.3048,-6.6857,-6.3771,-6.3771
156,-5.4947,-5.4947,-6.3645,-5.5174
157,-6.6958,-6.9417,-6.6996,-6.6958
158,-6.2670,-6.4702,-6.2670,-6.4702
159,-7.4880,-7.7348,-7.4332,-7.5969
160,-6.8405,-7.0255,-6.2104,-6.2104
161,-6.9212,-7.2716,-6.9212,-7.1372
162,-6.3475,-6.6015,-6.7536,-6.3475
163,-7.1041,-7.1041,-7.4479,-8.1394
164,-6.6302,-6.6302,-6.7785,-6.7898
165,-6.9063,-7.4038,-6.9063,-7.0658
166,-6.3339,-6.7496,-6.8104,-6.3339
167,-7.3557,-7.3557,-7.4971,-8.1480
168,-6.9585,-6.8573,-6.8534,-6.8573
169,-6.8472,-7.6874,-6.8751,-6.8472
170,-6.2869,-6.8835,-6.8835,-6.2869
171,-7.5613,-7.5613,-7.6185,-8.0132
172,-7.0207,-6.9711,-6.8921,-6.9711
173,-6.9471,-7.6427,-6.9471,-6.9686
174,-6.2972,-6.8503,-6.8503,-6.2972
175,-7.6780,-7.6869,-7.6780,-7.9259
176,-7.0392,-7.0392,-6.8478,-7.0392
177,-7.0111,-7.6488,-7.0111,-7.0447
178,-6.2865,-6.8322,-6.8181,-6.2865
179,-7.8118,-8.0051,-7.8118,-7.9313
180,-6.9477,-6.9477,-6.9370,-6.9477
181,-7.1960,-7.7108,-7.1960,-7.4059
182,-6.3789,-6.8224,-6.7923,-6.3789
183,-7.7972,-8.1631,-7.9216,-7.7972
184,-6.9341,-7.8996,-6.9341,-7.3116
185,-7.4520,-7.6805,-7.6805,-7.6310
186,-6.4077,-6.8203,-6.7996,-6.4077
187,-7.5627,-8.2344,-7.9440,-7.5627
188,-7.0185,-7.9177,-7.0185,-7.3740
189,-7.4678,-7.7680,-7.8770,-7.5312
190,-6.6468,-6.8814,-6.9388,-6.6468
191,-7.4100,-8.1788,-7.6369,-7.4100
192,-7.0988,-7.8870,-7.0988,-7.1892
193,-7.2466,-7.6409,-7.6409,-7.2466
194,-6.8542,-6.9118,-7.0609,-6.8542
195,-7.1671,-7.9095,-7.3260,-7.1671
196,-7.1492,-7.7955,-7.1492,-7.0600
197,-7.2812,-7.6838,-7.7371,-7.2812
198,-6.9904,-7.0356,-7.1091,-6.9904
199,-7.0733,-7.7468,-7.1948,-7.0733
200,-7.0106,-7.5504,-7.0106,-6.9848
201,-7.1197,-7.7714,-7.8291,-7.1197
202,-7.1612,-7.1180,-7.1612,-7.1180
203,-7.0359,-7.7472,-7.2013,-7.0359
204,-6.8858,-6.8858,-6.8858,-6.8858
205,-7.9373,-7.9260,-7.9373,-8.0472
206,-7.1951,-8.0265,-7.1951,-7.3398
207,-7.1889,-8.2346,-7.1889,-7.5766
208,-7.2251,-7.2251,-7.5440,-7.2251
209,-7.8658,-7.8970,-7.4293,-7.8970
210,-7.5946,-7.5946,-7.6446,-8.1679
211,-8.0578,-7.8578,-7.6625,-7.6625
212,-7.4360,-7.4041,-7.0081,-8.3136
213,-7.2877,-7.2877,-7.1800,-7.3569
214,-7.4703,-7.6286,-7.4703,-8.1736
215,-7.2936,-7.0094,-7.0094,-7.0094
216,-7.3002,-7.5404,-7.3002,-7.6036
217,-7.6715,-7.7572,-7.7572,-7.6715
218,-7.2459,-7.0426,-7.0426,-7.0426
219,-8.2651,-8.0157,-7.9008,-7.9008
220,-7.2491,-7.4589,-7.2491,-7.5233
221,-7.8134,-7.6951,-7.6951,-7.8134
222,-7.4148,-7.1708,-7.1708,-7.1708
223,-8.3746,-8.0783,-7.8659,-7.8659
224,-7.3333,-7.4051,-7.3333,-7.4051
225,-6.7846,-7.3857,-7.3857,-6.7846
226,-4.2515,-5.6343,-6.5815,-4.2515
227,-5.3410,-2.3862,-6.0981,-2.3862
228,-5.8874,-5.4582,-6.2050,-5.4582
229,-3.7432,-4.5154,-3.7432,-3.1466
230,-5.7064,-5.9000,-5.7064,-5.5730
231,-2.4478,-3.4873,-2.4478,-2.4478
232,-6.0200,-7.5133,-6.0200,-6.0200
233,-4.6760,-4.6760,-5.0641,-4.6760
234,-6.1558,-5.4639,-6.2259,-6.1558
235,-3.5660,-3.0974,-5.2878,-4.2559
236,-2.9938,-2.9938,-4.0789,-2.3830
237,-0.9292,-0.9292,-0.8152,-0.9292
238,-1.7945,-2.3126,-1.7945,-1.7945
239,-1.8246,-1.8246,-2.2109,-2.2109
240,-1.5944,-1.5944,-3.6008,-4.0631
241,-0.4164,-0.4164,-2.7088,-1.8383
242,-1.2322,1.0553,-1.2322,1.0553
243,-1.2509,1.1885,-1.1983,-2.5019
244,-2.8476,3.0326,-3.0326,-3.0326
245,-0.6129,1.5254,-1.0319,-1.4091
246,-1.8185,2.1896,1.8185,-2.7582
247,-4.1394,2.7015,3.7818,-3.9509
248,0.6563,1.9865,-0.6563,-0.8386
249,-0.7654,0.7654,-0.7654,-2.0735
250,-0.8300,1.0155,0.8300,-0.8300
251,-1.4314,-1.4314,1.4314,1.5230
252,-1.2768,-1.2768,1.2933,1.2768
253,-0.9152,2.9646,1.1772,-2.8564
254,3.3636,3.3636,2.6671,-3.5018
255,1.2950,2.9330,1.2950,-3.3898
256,1.2821,1.4198,1.2821,-2.3088
257,-1.0554,0.7000,0.7000,-1.4257
258,1.2131,-0.7571,1.2131,0.7571
259,1.4416,1.1026,1.4416,-1.1026
260,2.0300,2.1744,1.4554,-2.1744
261,0.5846,0.8904,0.5846,-1.7500
262,-1.4517,2.9764,1.5658,-2.4556
263,1.7348,3.0732,3.7988,-3.6225
264,2.8052,3.3898,3.5891,-3.3898
265,1.9444,1.9444,3.0025,-3.1196
266,1.2854,1.2854,1.0752,-2.1233
267,-2.2847,3.5946,-2.2847,-3.5946
268,-0.8318,0.6376,2.2762,-1.9635
269,0.7916,3.0651,0.7916,-1.6119
270,1.6489,2.6728,1.6489,-2.6728
271,2.2749,2.2749,2.4478,-2.6127
272,1.4996,1.9391,1.4996,-2.1958
273,-0.4480,0.4436,0.4436,-1.1244
274,-0.1254,-0.1254,-0.1254,-1.9223
275,-1.6663,0.7811,1.6663,-1.7373
276,1.6535,1.8286,1.8286,-3.4347
