stem,modo,baud,gain,fec_repeat,bytes,acerto_bits,bloco_ok,pico_rx,rms_rx
20260903-175617-mary-g1.0-A2B,mary,100,1.0,1,48,80.93,0,0.5622,0.1219
20260903-175751-mary-g1.0-A2B,mary,100,1.0,1,48,80.1,0,0.5417,0.1107
20260903-175925-mary-g1.0-A2B,mary,100,1.0,1,48,79.68,0,0.5148,0.0956
20260903-180108-mary-g0.7-A2B,mary,100,0.7,1,48,74.6,0,0.4862,0.0975
20260903-180242-mary-g0.7-A2B,mary,100,0.7,1,48,78.02,0,0.4837,0.0892
20260903-180415-mary-g0.7-A2B,mary,100,0.7,1,48,76.52,0,0.5118,0.0952
20260903-180558-mary-g0.5-A2B,mary,100,0.5,1,48,81.85,0,0.4698,0.0968
20260903-180732-mary-g0.5-A2B,mary,100,0.5,1,48,77.6,0,0.5647,0.1039
20260903-180906-mary-g0.5-A2B,mary,100,0.5,1,48,80.35,0,0.5369,0.1057
20260903-181049-mary-g0.25-A2B,mary,100,0.25,1,48,77.85,0,0.3963,0.0807
20260903-181222-mary-g0.25-A2B,mary,100,0.25,1,48,81.27,0,0.4406,0.0842
20260903-181357-mary-g0.25-A2B,mary,100,0.25,1,48,79.85,0,0.4156,0.0805
