stem,camada,direcao,fecrep,gain,bytes,rms,pico,bloco_inteiro,nota
20260903-162920-mg2-g1.0,mary,B2A,2,1.00,48,0.0299,0.158,sim,
20260903-162931-mg2-g1.0,mary,B2A,2,1.00,48,0.0305,0.155,sim,
20260903-162941-mg2-g1.0,mary,B2A,2,1.00,48,0.0293,0.144,sim,
20260903-163126-mg3-g0.7,mary,B2A,2,0.70,48,0.0256,0.127,sim,
20260903-163137-mg3-g0.7,mary,B2A,2,0.70,48,0.0237,0.121,sim,
20260903-163147-mg3-g0.7,mary,B2A,2,0.70,48,0.0240,0.127,nao,0/48
20260903-163009-mg2-g0.5,mary,B2A,2,0.50,48,0.0267,0.132,sim,
20260903-163020-mg2-g0.5,mary,B2A,2,0.50,48,0.0160,0.085,sim,
20260903-163031-mg2-g0.5,mary,B2A,2,0.50,48,0.0221,0.101,sim,
20260903-163214-mg3-g0.25,mary,B2A,2,0.25,48,0.0116,0.069,nao,1/48
20260903-163225-mg3-g0.25,mary,B2A,2,0.25,48,0.0122,0.071,sim,
20260903-163235-mg3-g0.25,mary,B2A,2,0.25,48,0.0129,0.062,sim,
