simbolo,llr0,llr1,llr2,llr3
0,-2.3648,2.1749,2.1749,-3.4375
1,-1.4541,1.9476,1.0329,-3.2148
2,-1.2039,1.6549,0.9638,-2.6950
3,-0.6677,1.4842,0.6207,-2.8689
4,0.9386,2.4942,-1.6030,-2.9639
5,-0.7752,0.4647,0.6661,-3.2211
6,-1.0984,1.0984,0.7934,-2.0285
7,0.6396,1.7875,-0.6396,-3.5851
8,2.2260,1.6546,-1.6546,-2.6619
9,-0.9931,0.7211,-2.1647,-2.8393
10,-0.5846,0.6643,-1.1016,-2.2250
11,-2.3657,1.6092,-1.8861,-2.3657
12,-2.0782,1.8057,1.8057,-3.2132
13,2.0482,2.6556,-1.9890,-4.4771
14,-1.2670,1.2670,1.7075,-2.8326
15,-1.8279,0.9664,0.9664,-2.2110
16,-0.8871,2.1412,-0.9659,-2.6910
17,0.6610,0.9690,-0.6610,-1.9486
18,-2.7236,1.2713,-0.6929,-3.1422
19,-1.0041,0.4075,-0.4075,-2.7698
20,-1.0677,1.7334,-0.6740,-3.3584
21,1.2007,-1.1895,-1.1895,-2.0794
22,-0.7366,-0.7366,-1.3215,-1.3215
23,1.0830,-1.2805,-1.4782,-1.7858
24,-0.9208,2.2182,-2.7665,-2.9890
25,0.6039,0.6307,-0.6039,-3.2263
26,1.6815,1.7751,-2.1901,-4.4584
27,0.5647,0.5647,-0.5783,-2.8516
28,-0.4736,-0.8846,-1.4391,-3.0287
29,-0.9072,2.1644,0.9072,-3.3742
30,1.2383,2.1249,-2.1118,-3.7952
31,-0.8505,-0.3725,0.7130,-2.4180
32,0.6644,0.9690,0.6644,-2.5714
33,-0.9962,-1.9892,-1.7456,-1.9964
34,-2.1161,-1.9876,-1.9876,-3.3490
35,-3.2575,-2.3189,-2.3189,-3.3604
36,-1.9751,-1.3541,-1.3541,-1.9751
37,-0.5837,2.1755,0.8105,-0.5837
38,0.7012,-1.2547,-0.7012,0.7012
39,-0.5308,0.9280,-0.2919,-0.5308
40,1.1289,0.7208,-0.7208,-1.3847
41,-1.6425,-0.8876,-1.6395,-1.6395
42,0.8086,1.2309,-0.8086,-1.5272
43,-1.6455,-1.6131,-1.1976,-1.5792
44,0.3623,-0.3682,-0.4108,-1.2609
45,-0.1883,0.1891,0.1883,0.1883
46,-1.6380,-1.5526,-1.2763,-1.2763
47,0.3898,-0.9366,0.2766,-0.2766
48,0.7135,0.5535,-0.5535,-1.1357
49,-1.6039,1.6039,-1.6039,1.6933
50,-0.5824,1.7143,-1.7143,1.7373
51,-0.5266,2.0821,-2.4216,2.0821
52,-1.8917,1.7166,-1.7166,1.8917
53,0.9081,-1.2250,-0.5951,1.2250
54,-2.5415,2.5316,-3.1660,1.7145
55,-1.2547,-0.5751,0.5373,0.5373
