stem,modo,baud,gain,fec_repeat,bytes,acerto_bits,bloco_ok,pico_rx,rms_rx
20260903-192442-spk45-g0.5-A2B,mary,100,0.5,1,48,83.18,0,0.1908,0.0272
20260903-192616-spk45-g0.5-A2B,mary,100,0.5,1,48,85.68,0,0.1264,0.0233
20260903-192750-spk45-g0.5-A2B,mary,100,0.5,1,48,80.77,0,0.1427,0.023
20260903-192927-spk45-g0.35-A2B,mary,100,0.35,1,48,85.43,1,0.1086,0.0172
20260903-193100-spk45-g0.35-A2B,mary,100,0.35,1,48,82.85,0,0.0998,0.0172
20260903-193234-spk45-g0.35-A2B,mary,100,0.35,1,48,81.1,0,0.0911,0.0169
20260903-193411-spk45-g0.15-A2B,mary,100,0.15,1,48,83.1,0,0.0967,0.0141
20260903-193545-spk45-g0.15-A2B,mary,100,0.15,1,48,83.76,0,0.1161,0.0151
20260903-193720-spk45-g0.15-A2B,mary,100,0.15,1,48,88.18,1,0.1119,0.0123
20260903-193858-spk45-g0.10-A2B,mary,100,0.1,1,48,90.84,1,0.0952,0.0133
20260903-194033-spk45-g0.10-A2B,mary,100,0.1,1,48,85.26,0,0.1774,0.0146
20260903-194208-spk45-g0.10-A2B,mary,100,0.1,1,48,86.34,1,0.1877,0.0194
