simbolo,llr0,llr1,llr2,llr3
0,0.0486,0.0486,-0.0486,0.0486
1,1.2147,-0.5146,0.2124,-2.0354
2,-0.7156,-0.7156,-0.7156,-1.3835
3,0.5345,0.5139,-0.3695,-0.3695
4,0.4479,-0.3111,-0.1608,0.0332
5,1.1297,1.4802,0.5739,0.5739
6,1.2731,1.3632,1.3632,1.3632
7,-1.0090,-1.4314,-1.0862,-1.0090
8,0.9149,0.2765,-0.2123,-0.2123
9,0.8312,-0.8312,-0.8312,-1.2159
10,-1.1687,1.0293,1.0293,-1.0053
11,-0.3980,0.1106,-0.1106,-0.1106
12,0.8174,-0.7810,0.7810,-1.5660
13,-0.3416,-0.0984,-0.0984,-0.3416
14,-0.1262,-0.1262,-0.1746,-1.3821
15,0.8955,0.8955,0.8955,-0.8955
16,0.5942,0.0968,0.5942,-0.8516
17,-0.4788,0.4788,0.8287,-0.6811
18,0.3226,-1.1916,-0.3226,-0.3226
19,-1.4960,0.0527,-0.0527,-0.8074
20,-0.5400,-0.5400,-0.5400,-0.5400
21,0.0724,-0.0724,0.3440,-3.2698
22,-1.4024,0.1175,0.5206,-0.1175
23,-0.7042,-0.7042,0.7724,-0.7042
24,-0.6833,0.6833,0.6833,-1.1844
25,-0.5453,-1.9161,-0.9324,-0.5453
26,0.8448,-0.8327,-0.8448,-0.8530
27,1.5587,0.0854,-0.2168,-0.2168
28,-0.3093,0.4192,0.0934,0.0934
29,-0.2787,0.2787,0.2787,0.2787
30,0.4050,0.4050,0.0372,-0.0372
31,0.2197,-0.2302,0.2989,0.2197
32,-0.2605,0.0389,0.2605,0.1311
33,-0.6269,-1.0023,-0.6269,-0.6269
34,-0.5866,-1.6951,1.0358,0.5866
35,1.9493,1.4744,1.4744,-1.8868
36,-1.3125,-1.5813,1.3125,-1.5813
37,-0.4217,0.4217,0.4217,-1.3850
38,-0.1328,0.1598,0.1328,0.1328
39,0.4810,1.4333,0.4810,-1.0463
40,-0.5723,0.0015,0.0015,0.0015
41,0.4030,-0.7032,-0.8444,-0.7032
42,0.3880,-0.1561,0.1561,-0.1561
43,0.2984,0.2984,0.2984,-0.6299
44,-0.3391,-0.3391,-0.3391,-0.3479
45,-0.4553,-0.4553,0.4553,-1.8634
46,-0.6850,0.4419,-0.6850,-1.0531
47,-0.9349,-0.6756,-0.6756,-0.6756
48,-0.0745,-0.3547,0.3395,-0.0745
49,-1.5724,1.5724,1.5724,-1.6200
50,1.1104,1.3687,-0.8491,-1.4493
51,0.4985,0.4985,-0.2150,-0.2150
52,0.4849,0.4849,0.4849,-0.4849
53,-0.5259,0.6044,0.8613,0.5259
54,0.5127,-0.4763,0.4763,-0.6802
55,-0.5728,0.6074,-0.2550,-1.1290
56,-0.2542,0.5668,0.9227,-0.5933
57,-0.5983,0.3165,0.3165,-0.5983
58,-0.6673,-0.6673,-0.5874,-0.6673
59,-0.6743,0.1036,0.5102,-0.6537
60,0.5799,1.1219,-0.5799,-0.5799
61,-0.1715,0.3962,-0.1715,-1.0429
62,4.1304,4.7050,5.0339,4.9907
63,-0.3963,-0.3963,-0.3963,-0.3963
64,-0.3150,-0.3150,-0.3150,-0.3150
65,-2.4072,-2.4072,-2.4072,-2.4072
66,3.2074,3.1744,3.2814,3.2074
67,-1.3260,-1.3260,-1.3260,-1.3260
68,1.9652,1.9652,2.0683,1.9652
69,-0.5248,-0.5248,-0.5248,-0.5248
70,2.2902,1.9831,2.0051,2.2525
71,0.2699,0.2699,0.2699,0.2699
72,2.3011,2.0178,2.4398,2.0457
73,0.6024,0.6024,0.6024,0.6024
74,2.6517,2.5910,2.4543,3.3308
75,0.7502,0.7502,0.7502,0.7502
76,2.4521,2.4521,2.5011,2.2631
77,1.0970,0.2353,0.2353,0.2353
78,2.7947,2.7947,3.4548,2.7947
79,-0.6260,-0.6366,-0.6260,-0.6366
80,2.4040,2.4040,2.5950,2.2998
81,-0.8617,-0.7159,-0.5235,-0.8617
82,2.9540,3.1366,2.9540,3.4008
83,-0.8691,-0.6192,-0.4442,-1.2278
84,3.2061,2.5936,2.5936,2.5936
85,-0.4638,-0.4638,-0.4638,-0.4638
86,1.4496,1.4496,2.6616,1.4496
87,-0.1533,-0.1533,-0.1533,-0.1533
88,2.3637,1.7410,1.7410,1.7410
89,0.9054,0.9834,0.5557,0.5557
90,2.2532,1.6980,1.6980,1.6980
91,1.5351,1.0769,1.0769,1.0769
92,2.6097,1.9911,1.9911,2.4311
93,0.8948,0.8948,0.8948,0.8948
94,2.7844,3.0116,2.7844,3.1029
95,0.8571,0.8571,0.8571,0.8571
96,2.6909,2.6909,2.8716,2.9809
97,0.1216,0.1216,0.1216,0.1216
98,2.5943,2.5943,2.8086,2.9173
99,-0.7295,-1.1105,-0.7295,-0.7295
100,2.3191,2.3191,2.4173,2.7494
101,-0.8356,-1.0319,-0.8356,-0.8356
102,2.2862,2.2862,2.5436,2.4886
103,-0.8970,-1.8233,-0.8970,-0.8970
104,2.2232,2.2232,2.2742,2.9013
105,-0.6968,-0.6968,-0.6968,-1.1622
106,2.4897,2.4897,3.1303,3.1438
107,-0.9741,-1.1699,-0.9741,-0.9741
108,2.9821,2.9821,3.1390,3.1390
109,-0.4478,-0.4478,-0.4478,-0.9491
110,2.9806,2.9806,3.0293,3.0293
111,-1.1747,-0.7518,-0.7518,-0.7518
112,3.1980,2.8025,2.8025,2.8025
113,-0.2141,-0.2141,-0.2141,-0.2141
114,2.5215,2.5215,2.5215,2.8158
115,-0.0029,-0.0029,-0.0029,-0.0029
116,2.8528,2.6937,2.6937,2.6937
117,-0.4525,-0.4525,-0.4525,-0.4525
118,2.6747,2.6747,2.6747,2.9824
119,-0.5711,-0.5711,-0.5711,-0.5711
120,3.2023,2.8365,2.8365,2.8365
121,-1.0812,-1.0812,-1.0812,-1.6704
122,3.0334,2.8048,3.0334,3.2578
123,-1.1475,-1.1475,-1.3277,-1.3277
124,3.1073,2.8100,2.5517,2.9031
125,-1.0645,-1.0233,-1.0233,-1.2835
126,2.7830,2.8679,2.4042,3.1481
127,-1.0871,-1.0871,-1.0871,-1.0871
128,2.7572,2.6017,2.3357,2.7572
129,-0.9672,-0.9672,-0.9672,-1.4172
130,2.6090,1.7638,1.7638,3.0461
131,-1.1775,-1.1775,-1.1775,-1.1775
132,1.5883,1.7903,1.5883,1.5883
133,-1.5722,-1.5722,-1.5722,-1.5722
134,1.9937,1.7925,1.7925,1.9668
135,-1.3498,-1.3498,-1.3498,-1.3498
136,2.0461,1.5957,1.5957,2.1554
137,-1.6865,-1.6865,-1.6865,-1.6865
138,2.0810,1.5039,1.5039,1.8485
139,-1.0289,-1.0289,-1.0289,-1.5145
140,1.4824,1.4824,1.5455,1.5063
141,-1.3435,-1.6896,-1.6896,-1.3435
142,1.7418,1.9848,1.7418,1.7418
143,-1.8151,-1.9398,-1.8712,-1.8151
144,0.7228,1.2307,2.2526,0.7228
145,-1.7472,-1.6394,-1.6394,-1.6394
146,0.9257,1.2179,2.2158,0.9396
147,-1.5432,-1.5432,-1.5432,-1.5432
148,1.7436,1.7436,1.7436,1.6997
149,-1.9922,-1.9922,-2.1490,-1.9922
150,2.5643,2.5643,2.5643,1.9127
151,-2.2866,-2.1210,-2.2866,-2.2866
152,1.0187,1.0809,1.0809,1.0187
153,-1.7083,-1.7083,-1.7083,-2.7391
154,1.9209,3.0261,1.9209,2.4293
155,-0.9293,-0.9293,-0.9293,-1.8180
156,1.6529,2.4902,1.6529,1.9637
157,-1.7997,-1.7997,-1.7997,-1.7997
158,1.7004,2.6671,1.7004,2.2090
159,-1.3285,-1.3285,-1.3285,-1.9187
160,1.4515,2.6815,1.4515,2.1739
161,-1.7085,-1.7085,-1.7085,-1.7085
162,0.7034,0.7034,1.3434,1.2230
163,-1.4385,-1.4385,-1.4385,-1.4385
164,2.4371,2.4371,2.3652,2.4371
165,-1.7183,-1.7183,-1.7183,-1.7183
166,2.6521,2.5705,2.4236,2.6521
167,-1.6385,-1.6385,-1.6385,-2.3520
168,2.1264,2.1264,2.1264,2.1264
169,-2.3292,-2.3278,-2.3292,-2.3292
170,2.2175,2.2175,2.2175,2.2175
171,-1.7840,-1.7840,-1.7840,-1.7840
172,2.0370,2.0370,2.0370,2.0370
173,-1.5352,-1.5352,-1.5352,-1.5352
174,2.4010,2.4010,2.2709,2.4010
175,-1.5836,-1.5836,-1.5836,-1.5836
176,2.2610,2.2610,2.2540,2.2610
177,-1.5985,-1.5985,-1.5985,-1.5985
178,2.6876,2.6876,2.0014,2.6876
179,-1.4427,-1.4427,-1.4427,-1.4427
180,2.1645,2.5130,2.1645,2.1645
181,-1.8007,-1.8007,-1.8007,-1.8007
182,4.8898,-4.8898,-6.9314,6.4009
183,-2.2475,2.2475,-5.6306,5.6306
184,2.6267,-2.6267,-6.3439,6.0419
185,0.8569,-0.7492,-1.1786,2.9707
186,-5.0567,-6.2680,-5.5835,6.2680
187,3.1035,-4.5786,3.1035,6.0327
188,1.6303,-3.2748,1.6303,-1.6303
189,4.3242,-4.3242,-4.2690,4.3242
190,0.4177,-3.4220,-2.0110,0.4177
191,3.0520,4.7603,-4.7603,5.2030
192,4.2526,4.2526,-4.6205,6.2579
193,-3.5460,-3.5460,3.5460,5.9517
194,2.5651,1.8483,-0.3781,3.1251
195,-3.5146,-3.5146,3.5146,-3.5146
196,-4.8696,3.5148,4.8696,-4.8696
197,-4.5770,-4.0130,5.6966,4.0130
198,-3.3476,-3.3476,3.3476,-3.3194
199,-3.2487,-2.4768,4.1042,-3.6729
200,-2.6383,-2.6383,-1.7131,-1.7131
201,3.6609,-3.6609,4.5219,3.6609
202,2.8202,-2.8202,-2.1314,2.8202
203,3.1527,-4.4310,4.0742,3.1527
204,-4.4969,-4.4251,-4.0206,4.0206
205,3.9057,-3.7200,-3.6621,4.4637
206,1.3024,1.0970,1.3150,2.0159
207,4.4729,-5.3942,-3.1914,4.4729
208,-1.6413,-3.8250,1.6413,-1.6413
209,2.4267,-2.5063,2.4267,2.5063
210,4.3300,-4.3300,-4.2915,-3.6913
211,-3.7878,3.7878,-5.4814,-4.5863
212,2.4122,-2.4122,-4.6829,-4.5517
213,1.4191,0.1921,0.1921,0.1921
214,2.7316,-2.7316,-3.0284,2.7316
215,-4.5212,4.5212,4.2759,-4.5212
216,-4.2919,4.3421,-3.8434,3.8434
217,0.8247,2.5476,0.8247,1.8229
218,-3.0797,4.7693,3.0797,3.0797
219,4.0097,4.5681,-4.5036,-5.4380
220,-3.1666,4.7708,3.1666,-4.6170
221,-5.2696,-2.5228,-2.5228,2.5228
222,-2.6505,3.2340,2.6505,2.6505
223,4.1476,4.8596,4.5999,-4.1476
224,-2.2937,-2.2937,4.5150,2.2937
225,2.3920,-2.3920,2.3920,-2.7110
226,-3.9479,2.9117,2.9117,-2.9117
227,-2.9292,2.9292,-2.9292,2.9292
228,-4.0730,-3.8874,3.8874,4.0730
229,2.5466,-2.5466,3.4150,-2.6779
230,4.5874,-4.1997,-4.1997,-4.1997
231,-1.9952,-3.6619,1.9952,-3.5849
232,3.9251,3.4016,-3.4016,-4.3205
233,4.2638,4.8696,-4.8696,-4.2638
234,-4.1626,5.0966,-5.0966,-6.1274
235,5.0966,5.0966,-4.0612,3.5555
236,3.5426,4.1569,-3.5426,-4.2596
237,3.0120,4.6643,-4.9026,-4.9088
238,1.7998,2.8120,0.6201,0.6201
239,4.4982,4.4982,-4.4982,-4.4982
240,-4.4405,-4.1761,4.1761,-4.4405
241,3.3902,-2.5099,-3.3902,-3.5423
242,-3.6514,-3.6514,3.6805,-4.2609
243,3.2932,-3.0498,3.0498,3.0498
244,3.2070,-3.2070,3.2070,-4.4484
245,2.3326,1.8434,1.8434,1.8434
246,-2.0795,-3.3696,3.3696,-4.7602
247,5.1473,4.1579,4.1091,-4.1091
248,4.5768,4.5820,-4.3596,4.3596
249,-2.8784,2.8784,3.2885,3.3896
250,2.8982,2.8982,-2.8982,-4.0473
251,3.1789,-3.9146,-3.1789,-3.9146
252,-1.9273,1.9273,1.9273,1.9273
253,5.2389,5.0560,-5.2389,3.8761
254,-2.4525,2.4525,2.4525,2.4525
255,-4.6204,-4.7581,-4.6204,5.1875
256,4.5016,4.5016,-4.5016,4.5016
257,-3.5873,-3.5873,3.9054,5.2543
258,-3.4000,-3.2157,3.4000,-3.2157
259,-3.9269,3.7859,-4.5036,4.5036
260,-4.4081,-3.0141,3.0141,4.1656
261,1.6992,1.6992,2.3579,3.2416
262,3.4806,-3.8566,4.0529,3.4806
263,-3.1037,3.6848,3.1037,-2.6534
264,3.0335,-3.3657,-3.0335,-3.0335
265,-3.9076,-3.3623,-4.0434,4.0434
266,4.0286,-4.0286,-4.3360,4.1310
267,4.0627,-5.0136,-4.0627,5.3963
268,4.8107,4.2764,-4.6922,4.8107
269,-4.1770,-4.1770,-4.6968,4.6968
270,-4.1199,-4.9695,-4.5177,4.9695
271,2.8513,-3.4949,-3.4949,-2.5774
272,-3.1570,-4.1185,3.1570,3.1570
273,4.1272,3.6080,3.6080,-4.1700
274,-3.8440,4.1690,-3.8440,-3.9835
275,-3.7790,-3.2949,3.2949,3.2949
276,2.9607,-3.5675,2.7248,3.5675
277,4.3590,3.8911,-3.8911,4.4384
278,4.7531,4.7531,-3.5719,-4.7531
279,-3.9735,-3.9735,-3.0096,4.0702
280,3.9006,3.9006,-4.7881,5.7911
281,-3.0162,2.6304,2.6304,-2.6304
282,-4.1596,-3.3950,-3.3950,3.3950
283,2.6602,-2.6602,2.6602,2.6602
284,3.5904,-3.6649,3.2736,-3.2736
285,-3.5523,3.8189,3.5523,4.1250
286,4.0930,4.0751,4.0930,-4.1186
287,-2.9083,4.1077,-2.9083,-4.1077
288,3.3253,4.1765,-3.4358,-4.3164
289,-2.8784,2.8784,3.1670,-2.8784
290,-4.5846,4.4704,-4.2842,-5.1599
291,-4.7263,4.6983,-3.7936,-4.6340
292,-3.0655,-1.7630,-3.0655,1.7630
293,-4.7258,3.0131,1.9676,1.9676
294,-3.2059,-3.2059,3.2059,3.2059
295,-3.1958,3.4519,3.7273,-3.1423
296,-3.8453,-2.5407,2.5407,2.5407
297,-3.2870,-3.0081,3.2152,3.0081
298,1.9839,1.9839,3.3536,3.3318
299,-4.6673,-2.5790,2.5790,-4.4995
300,-3.4205,-3.4205,-3.4205,4.1563
301,-2.8102,4.2172,-2.8102,4.8911
302,-3.6799,2.8637,2.6475,-2.6475
303,3.9069,5.0229,-3.9069,3.9069
304,-3.9300,-3.5683,3.5683,-4.2660
305,-4.4708,4.4475,-3.5932,-3.5932
306,-2.8431,2.8431,2.2492,-3.4698
307,-3.4788,-2.3941,-2.3941,-3.5021
308,-2.9658,3.7910,-3.4465,-4.7357
309,-4.0623,-3.7106,3.1550,-4.0623
310,-4.5999,-3.6242,-3.6242,-4.6265
311,3.0255,-3.7186,-3.7186,-4.9422
