simbolo,llr0,llr1,llr2,llr3
0,0.3141,-0.3141,-0.7984,0.3141
1,1.3043,1.5254,-1.5254,-2.3274
2,0.5719,0.8334,-0.5719,-1.9642
3,0.3397,0.4663,0.4663,-0.3397
4,0.3273,1.1762,1.3033,-0.9605
5,-1.2206,-1.4845,-1.4845,-1.4845
6,0.8632,0.2587,-0.2587,-1.2529
7,-1.2854,0.7189,0.7189,-1.3120
8,-0.9497,-0.7778,-0.5693,-1.3510
9,-0.5167,-0.5167,-0.5167,-0.8248
10,0.7738,-1.0860,1.0365,-1.1074
11,-0.5079,-0.7265,0.7265,-0.5079
12,-0.2921,0.2393,-0.2393,-0.4924
13,0.7884,0.6126,0.6126,0.6126
14,1.2555,0.5738,-1.2885,-2.5965
15,-0.8804,-0.8922,-0.8804,-1.3671
16,1.4198,1.0851,1.3374,1.0851
17,-0.6652,-0.5349,-0.5349,-0.3953
18,-0.5309,-0.5309,-0.5309,-0.5309
19,1.0218,-1.1974,-1.2218,-1.2121
20,0.8514,0.4827,0.4827,-0.9969
21,-0.5489,-0.5489,0.5489,-0.5489
22,1.4894,1.4894,2.5530,-1.4894
23,0.5062,-0.8679,-1.3937,-1.3937
24,0.5029,-0.5205,-0.5205,0.4269
25,1.5386,-1.5990,1.5712,-1.7325
26,-0.1732,-0.6530,0.1732,-0.4095
27,1.0156,-1.2411,1.2411,1.2411
28,-1.1708,0.4671,0.6741,-0.4671
29,-0.9000,-0.9000,-0.9000,-1.0210
30,0.5078,-0.5078,-0.8649,-0.5078
31,0.4359,0.1132,-0.1132,-1.0732
32,0.7322,-0.1666,0.1666,-0.8293
33,1.1364,0.6065,0.6065,-1.8772
34,0.9820,0.9820,-0.9820,-1.7314
35,1.0287,1.0287,-1.8296,-2.1695
36,0.2891,-0.2891,-0.4855,-0.5333
37,1.0278,0.9620,-0.6758,-0.9620
38,-1.2591,1.2591,-0.3690,-0.7565
39,-0.1078,0.6450,0.1078,-1.0336
40,-0.7774,-1.1477,0.7774,-0.4951
41,-0.6081,0.7620,-0.6081,-0.6081
42,0.7757,-0.8118,-0.7372,-0.7372
43,-1.1887,-1.0650,-0.8844,-0.8844
44,-1.4250,-1.4250,-1.5449,-2.0733
45,-0.5227,-0.5227,0.5227,-0.8551
46,-0.8769,1.5748,-1.2683,-1.5250
47,-1.0403,-1.0403,-1.7021,-1.1878
48,-1.8464,-1.8464,-1.8464,-2.5534
49,0.3350,0.3350,-1.5941,-0.8431
50,1.0037,1.0713,-1.0037,-1.6118
51,1.2624,0.2010,-0.2010,-1.1944
52,-0.4894,0.5967,-0.5967,-0.4894
53,-0.6759,-1.9629,-1.4848,-1.4848
54,-0.6354,0.5258,-0.8575,-0.5258
55,-1.6237,1.0230,-1.6237,-1.7084
56,-1.1558,0.7897,-1.1558,-1.5311
57,-3.1660,2.2246,-2.3969,-2.3969
58,-1.3534,1.0890,-1.0890,-2.3183
59,-1.3504,1.7420,-1.7420,-1.7420
60,1.3754,1.6755,3.4340,1.6755
61,4.6169,4.6169,4.6169,4.6169
62,6.1517,5.9047,5.9047,5.9047
63,8.7821,8.7248,8.0897,8.0897
64,7.6013,7.6013,7.6013,7.6013
65,9.5949,9.2234,9.5262,9.5262
66,8.1976,8.2178,8.4081,8.2178
67,10.1389,9.8558,9.8558,9.9823
68,8.7684,8.6334,8.7684,8.6334
69,10.2709,10.2709,10.1452,10.1452
70,8.7023,8.4590,8.4590,8.4590
71,10.6910,10.2409,10.2350,10.2350
72,9.4120,9.1068,9.4120,9.1068
73,10.9154,10.6366,10.6044,10.6044
74,9.5966,9.1989,9.5662,9.1989
75,11.0384,10.7631,10.7631,11.0964
76,9.7864,9.5017,9.7864,9.5017
77,11.0681,11.0681,11.3005,11.0681
78,9.7209,9.5766,9.7209,9.5766
79,11.3339,10.9404,10.9404,11.3339
80,9.9000,9.7789,9.9000,9.7789
81,11.3958,11.4317,11.3958,11.4317
82,9.6699,9.6688,9.6699,9.6688
83,11.5987,11.1539,11.1539,11.4283
84,9.8192,9.8192,9.8192,9.8192
85,11.5541,11.5334,11.5334,11.5964
86,9.8886,9.8886,9.8886,9.8886
87,11.5687,11.3191,11.3191,11.5102
88,10.1552,10.1373,10.1552,10.1373
89,11.5599,11.5399,11.5399,11.6866
90,10.1439,10.1439,10.1439,10.1439
91,11.5774,11.3677,11.3677,11.7366
92,10.2997,10.1639,10.2997,10.1639
93,11.6380,11.5398,11.5398,11.6785
94,10.1639,10.1639,10.1639,10.1639
95,11.5587,11.3728,11.3728,11.7334
96,10.3496,10.2295,10.3496,10.2295
97,11.6534,11.4045,11.4045,11.5255
98,10.2614,10.2614,10.2614,10.2614
99,11.5063,11.3972,11.3972,11.6953
100,10.3362,10.2583,10.3362,10.2583
101,11.7305,11.3114,11.3114,11.6648
102,10.3130,10.3130,10.3130,10.3130
103,11.6199,11.6636,11.6199,11.7563
104,10.3941,10.2902,10.3941,10.2902
105,11.8811,11.3014,11.3014,11.6654
106,10.3399,10.3399,10.3399,10.3399
107,11.6418,11.8061,11.6418,11.7894
108,10.3917,10.3160,10.3917,10.3160
109,11.8635,11.3251,11.3251,11.7953
110,10.3534,10.3534,10.3534,10.3534
111,11.7313,11.8992,11.7313,11.7396
112,10.4635,10.3536,10.4635,10.3536
113,11.9990,11.2739,11.2739,11.8304
114,10.3950,10.3950,10.3950,10.3950
115,11.7189,12.0056,11.7189,11.7419
116,10.4446,10.4091,10.4446,10.4091
117,11.9642,11.2344,11.2344,11.8292
118,10.4132,10.4132,10.4132,10.4132
119,11.7834,12.0264,11.7305,11.7305
120,10.4563,10.4365,10.4563,10.4365
121,11.9576,11.2310,11.2310,11.9146
122,10.4519,10.4519,10.4519,10.4519
123,11.8074,12.0478,11.7390,11.7390
124,10.5101,10.5037,10.5101,10.5037
125,11.9370,11.2527,11.2527,11.8460
126,10.4773,10.4773,10.4773,10.4773
127,11.8655,12.0813,11.7408,11.7408
128,10.5161,10.5161,10.5161,10.5161
129,11.9962,11.3800,11.3800,11.8395
130,10.4821,10.4821,10.4821,10.4821
131,11.9756,12.1541,11.9622,11.9622
132,10.5518,10.5518,10.5518,10.5518
133,12.0180,11.4471,11.4471,11.8103
134,10.5280,10.5280,10.5280,10.5280
135,12.1165,12.1585,11.9630,11.9630
136,10.5785,10.5785,10.5785,10.5785
137,11.8520,11.4995,11.4995,11.8056
138,10.5197,10.5197,10.5197,10.5197
139,12.2067,12.1420,12.0484,12.0484
140,10.5926,10.5926,10.5926,10.5926
141,11.8217,11.5631,11.5631,11.7921
142,10.5018,10.5018,10.5018,10.5018
143,12.2209,12.2209,12.0654,12.0654
144,10.6240,10.6240,10.6240,10.6240
145,11.7890,11.6123,11.6123,11.7697
146,10.5035,10.5035,10.5035,10.5035
147,12.2799,12.1365,12.0918,12.0918
148,10.6469,10.6469,10.6469,10.6469
149,11.8447,11.7424,11.7424,11.7539
150,10.4969,10.4969,10.4969,10.4969
151,12.3093,12.1534,12.0747,12.0747
152,10.6681,10.6681,10.6681,10.6681
153,11.8817,11.9501,11.8193,11.8193
154,10.4935,10.4935,10.4935,10.4935
155,12.2834,12.0736,12.0736,12.0972
156,10.6859,10.6859,10.6859,10.6859
157,11.9363,12.0780,11.8641,11.8641
158,10.4937,10.4937,10.4937,10.4937
159,12.3346,12.1032,12.1032,12.2934
160,10.7052,10.7052,10.7052,10.7052
161,11.9315,12.2474,11.8056,11.8056
162,10.5321,10.5321,10.5321,10.5321
163,12.4083,12.0929,12.0929,12.1879
164,10.7140,10.7140,10.7140,10.7140
165,11.9571,12.3031,11.8122,11.8122
166,10.5353,10.5353,10.5353,10.5353
167,12.3861,12.1235,12.0930,12.0930
168,10.6887,10.6887,10.6887,10.6887
169,11.9846,12.3717,11.7398,11.7398
170,10.4906,10.4906,10.4906,10.4906
171,12.4383,12.1137,12.1137,12.1372
172,10.6673,10.6673,10.6673,10.6673
173,12.0450,12.4119,11.8617,11.8617
174,10.4859,10.4859,10.4859,10.4859
175,12.4363,12.2067,12.0866,12.0866
176,10.6942,10.6942,10.6942,10.6942
177,12.1540,12.4279,11.8075,11.8075
178,10.4707,10.4707,10.4707,10.4707
179,12.4321,12.2930,12.1442,12.1442
180,8.0073,8.2958,8.0073,9.0234
181,5.1488,-2.8808,-2.8808,6.8547
182,-3.2716,3.3217,-3.2716,6.3782
183,3.9277,-3.3270,-3.3270,7.3193
184,3.7893,3.9217,4.8471,3.7893
185,-1.9385,-2.1900,-1.9385,4.9638
186,1.9097,-2.2453,1.9097,2.9158
187,0.9907,-1.2568,-1.2568,1.9438
188,3.3110,-3.3110,-3.3658,5.5072
189,-2.7952,2.7952,2.7952,-2.7952
190,0.3810,-0.3810,-0.3810,-1.6068
191,-2.9164,-3.1608,2.9164,3.4288
192,-3.4914,3.8018,3.2095,-3.2095
193,3.3031,3.7815,-3.3225,-3.7815
194,0.6820,-0.6700,-0.6820,-1.4545
195,1.1006,-1.1006,1.8094,-1.3602
196,0.4588,0.4588,-1.3187,-1.3027
197,-2.6414,2.7963,4.4648,-3.6878
198,2.8014,-2.8014,4.0318,2.8014
199,3.4766,4.2202,-3.4766,-4.2202
200,2.9139,-2.9405,2.9139,2.9405
201,3.2051,3.6339,-3.6339,3.5842
202,1.0656,2.2485,2.7064,1.0656
203,-3.8379,3.8379,-3.8379,6.1973
204,-3.4987,5.3712,-5.3712,5.6536
205,-1.0648,1.0648,2.1945,2.9768
206,2.9070,-3.1598,-4.2301,5.3661
207,-3.6651,-3.0349,-3.0349,3.0349
208,-2.7751,-3.6365,-2.7880,5.5493
209,2.1521,-2.1521,2.1521,3.7483
210,-1.6500,-0.5026,-1.6968,-0.5026
211,1.5138,-2.0600,1.6789,-1.6789
212,-2.1387,2.9333,1.4966,3.3593
213,3.4165,3.0877,2.9908,-3.0877
214,3.1271,3.5876,-3.5310,3.5310
215,2.0748,-2.2932,-2.2952,-2.0748
216,-0.5849,-1.3749,-2.3787,-1.4475
217,-3.4833,-3.4833,3.7574,-3.7574
