simbolo,llr0,llr1,llr2,llr3
0,-1.8229,-0.4462,-2.4963,-3.5117
1,-1.2739,-1.2739,-1.8175,-1.4575
2,-2.2682,-2.0163,-2.0163,-2.3197
3,-1.6088,-1.5219,-1.5219,-1.6088
4,0.3962,-0.7851,-0.6457,-0.3962
5,-2.1222,-0.8997,-1.7973,-2.1222
6,-1.2049,-1.2049,-1.4219,-1.2049
7,-1.4708,-1.4708,-1.4296,-3.5775
8,-0.5723,-0.7799,0.5723,-1.1296
9,1.2029,-1.2029,-1.2029,-1.1636
10,-0.8629,0.8629,-1.2406,-1.2406
11,-1.0349,0.2088,0.2088,-2.0988
12,-1.3096,-1.3110,-1.3110,-2.1933
13,-1.0690,-0.7297,-0.7297,-1.9353
14,-0.7002,-1.3692,-1.1272,-1.1272
15,1.2874,-1.2874,-2.2617,-2.3149
16,-0.6858,0.4454,-1.2823,-1.6458
17,-0.7681,-0.5882,-0.5820,0.5820
18,0.3414,0.3414,0.5531,-1.2907
19,0.7638,1.1107,-0.7991,-1.3504
20,0.4333,-0.7087,-0.4333,0.4333
21,-1.4717,1.7843,-0.8730,-1.7843
22,-0.7282,0.9384,-0.9522,-1.5988
23,1.2597,-1.4718,-0.6574,-1.3956
24,-1.0924,-1.0924,1.6166,-1.0924
25,-1.2708,-1.2708,-1.8059,-2.5623
26,-1.0286,-0.8936,-1.0286,-1.1438
27,-2.3202,-1.7678,-1.9382,-2.4204
28,0.8167,0.4320,0.4320,-0.9095
29,-1.5029,-1.2183,-1.1044,-1.1044
30,1.8696,1.6701,1.6701,-1.8489
31,0.6671,0.9204,0.6693,-0.6671
32,0.3725,-0.3725,0.9594,-0.9423
33,0.9264,2.0826,-0.8728,-1.0363
34,-1.9106,-1.3994,-3.2358,-3.2358
35,-1.3015,-1.2696,-0.1629,-1.0298
36,0.3341,0.3341,-0.3352,-0.8771
37,0.2335,-0.2593,0.1745,-0.4024
38,1.0064,1.0064,-0.6830,-0.6830
39,0.5390,-0.5390,-0.6374,0.5390
40,-0.8598,-0.6377,0.6377,-0.6377
41,-0.7763,-0.7763,-0.7763,-1.0732
42,0.6542,0.6542,-0.6542,-0.9662
