simbolo,llr0,llr1,llr2,llr3
0,-0.1936,-0.3576,-1.1404,-1.5743
1,0.2233,-0.3489,-0.6030,-1.5061
2,-0.2208,-0.3301,-0.6733,-0.5447
3,0.0750,-0.1551,-0.5000,-0.3844
4,-0.5474,-0.6323,-0.6323,-0.8133
5,-0.3900,-0.3900,-0.4280,-1.3639
6,-0.0808,-0.1265,-0.7149,-0.8521
7,-0.3160,-0.5115,-0.4620,-0.3770
8,0.1770,-0.2313,-0.1770,-0.2713
9,0.5841,0.5841,-0.5841,-0.6142
10,0.0478,-0.0478,-0.8137,-0.8577
11,0.1621,-0.1728,-0.1728,-0.5610
12,0.2675,-0.2675,0.6333,-0.0873
13,-0.1001,-0.1001,-0.1735,-0.5582
14,-0.2393,-0.1783,-1.1753,-1.3908
15,0.0779,-0.1463,-1.0834,-1.4750
16,-0.3237,0.2905,-0.7836,-0.7541
17,-0.2728,0.2728,-0.8664,-0.3549
18,-0.0458,-0.0492,0.0492,-0.1324
19,-0.3221,-0.2831,0.3221,-1.2445
20,0.2741,-0.2741,-0.3561,-0.2741
21,0.0983,-0.2378,-0.2933,-1.1534
22,-0.4067,-0.4932,-0.7524,-1.3917
23,-0.2527,0.1094,0.1094,-0.6372
24,-0.2417,0.2269,-0.3895,-0.6599
25,0.2222,0.2222,-0.2222,-0.2480
26,-0.2457,0.2457,-0.4575,-0.3985
27,0.1597,-0.1426,-0.1523,-0.1426
28,0.5351,-0.5351,-0.6560,-0.5351
29,-0.1186,0.1186,0.1186,-0.1186
30,0.1364,-0.1364,-0.2999,-0.1492
31,-0.5999,-0.3387,0.5666,-0.6746
32,0.2429,0.1374,-0.2429,-0.4528
33,0.4158,-0.3929,0.3929,-0.4484
34,-0.2311,-0.1969,-0.1969,-0.6579
35,0.1808,-0.1808,-0.1808,-0.9902
36,-0.2770,-0.2541,-0.2541,-0.9585
37,-0.9689,-0.2653,-0.2748,0.5338
38,0.3162,-0.1408,-0.4436,0.1408
39,0.2642,0.2642,-0.4461,-0.2642
40,0.4901,-0.3365,-0.5392,-0.3365
41,-0.3171,0.3171,0.3171,-0.4156
42,-0.1075,0.1075,-0.1075,0.2336
43,-0.4127,0.2694,0.4127,-0.8195
44,-0.5209,0.2158,0.4171,-0.2158
45,-0.4743,0.3962,-0.4743,-0.4743
46,-0.4645,-0.4112,-0.5063,0.4803
47,0.1363,-0.1363,-0.1363,-0.2529
48,-0.5435,-0.3175,-0.4005,0.6299
49,-0.4112,0.4112,-0.4112,0.4112
50,-0.3195,-0.3195,-0.3195,-0.7765
51,-0.4117,-0.3684,-0.3684,-1.2592
52,-0.6064,-0.4722,-0.4767,0.6064
53,0.3921,-0.5007,-0.2582,-0.2582
54,0.1917,0.1917,-0.1917,-0.3592
55,0.2684,0.1163,-1.0049,-0.1163
56,-0.3407,0.3407,-0.4811,-0.3076
57,0.2484,0.3029,0.2484,0.2484
58,-0.1643,0.0997,-0.2987,0.1643
59,0.2490,-0.2597,-0.2490,0.2490
60,0.2735,0.6047,0.2735,0.2735
61,-0.1981,-0.3123,-0.8165,0.3123
62,-0.1085,-0.1006,0.1006,-0.1491
63,0.1889,0.1889,0.1889,-0.5308
64,0.6422,0.6422,0.6964,0.6964
65,-0.1790,-0.1790,-0.1700,-0.1700
66,0.0257,0.0257,0.0264,0.0264
67,-0.0100,-0.0100,-0.0044,-0.0044
68,0.0108,0.0108,0.0112,0.0112
69,-0.0058,-0.0058,-0.0027,-0.0027
70,0.0032,0.0032,0.0062,0.0062
71,-0.0062,-0.0062,0.0045,0.0045
72,0.0018,0.0018,0.0022,0.0022
73,-0.0038,-0.0038,-0.0038,-0.0038
74,0.0011,0.0011,0.0015,0.0015
75,-0.0017,-0.0017,0.0011,0.0011
76,0.0013,0.0013,0.0031,0.0031
77,-0.0042,-0.0042,0.0021,0.0021
78,0.0016,0.0016,0.0025,0.0025
79,-0.0025,-0.0025,-0.0018,-0.0018
80,-0.0013,-0.0013,-0.0013,-0.0013
81,-0.0034,-0.0034,-0.0030,-0.0030
82,-0.0008,-0.0008,-0.0008,-0.0008
83,-0.0020,-0.0020,0.0012,0.0012
84,-0.0015,-0.0015,0.0016,0.0016
85,-0.0013,-0.0013,-0.0013,-0.0013
86,0.0012,0.0012,0.0015,0.0015
87,-0.0012,-0.0012,-0.0009,-0.0009
88,-0.0002,-0.0002,-0.0002,-0.0002
89,-0.0017,-0.0017,-0.0016,-0.0016
90,-0.0006,-0.0006,-0.0006,-0.0006
91,-0.0012,-0.0012,-0.0006,-0.0006
92,0.0006,0.0006,0.0010,0.0010
93,-0.0021,-0.0021,-0.0020,-0.0020
94,0.0007,0.0007,0.0008,0.0008
95,-0.0010,-0.0010,-0.0009,-0.0009
96,0.0003,0.0003,0.0003,0.0003
97,-0.0018,-0.0018,-0.0013,-0.0013
98,0.0006,0.0006,0.0009,0.0009
99,-0.0014,-0.0014,0.0004,0.0004
100,-0.0016,-0.0016,0.0020,0.0020
101,-0.0011,-0.0011,-0.0011,-0.0011
102,0.0008,0.0008,0.0010,0.0010
103,-0.0007,-0.0007,-0.0007,-0.0007
104,0.0005,0.0005,0.0005,0.0005
105,-0.0015,-0.0015,-0.0014,-0.0014
106,0.0006,0.0006,0.0006,0.0006
107,-0.0015,-0.0015,0.0008,0.0008
108,-0.0013,-0.0013,0.0016,0.0016
109,-0.0011,-0.0011,-0.0011,-0.0011
110,0.0009,0.0009,0.0011,0.0011
111,-0.0010,-0.0010,-0.0010,-0.0010
112,0.0005,0.0005,0.0007,0.0007
113,-0.0016,-0.0016,-0.0013,-0.0013
114,0.0011,0.0011,0.0011,0.0011
115,-0.0017,-0.0017,0.0012,0.0012
116,-0.0013,-0.0013,0.0016,0.0016
117,-0.0011,-0.0011,-0.0011,-0.0011
118,0.0011,0.0011,0.0012,0.0012
119,-0.0011,-0.0011,-0.0011,-0.0011
120,0.0006,0.0006,0.0006,0.0006
121,-0.0013,-0.0013,-0.0009,-0.0009
122,0.0008,0.0008,0.0011,0.0011
123,-0.0021,-0.0021,0.0017,0.0017
124,0.0008,0.0008,0.0010,0.0010
125,-0.0011,-0.0011,-0.0008,-0.0008
126,0.0010,0.0010,0.0010,0.0010
127,-0.0014,-0.0014,-0.0009,-0.0009
128,0.0010,0.0010,0.0011,0.0011
129,-0.0012,-0.0012,-0.0006,-0.0006
130,0.0011,0.0011,0.0011,0.0011
131,-0.0019,-0.0019,0.0015,0.0015
132,0.0008,0.0008,0.0009,0.0009
133,-0.0009,-0.0009,-0.0007,-0.0007
134,0.0008,0.0008,0.0008,0.0008
135,-0.0011,-0.0011,-0.0010,-0.0010
136,-0.0006,-0.0006,0.0015,0.0015
137,-0.0022,-0.0022,0.0014,0.0014
138,0.0009,0.0009,0.0009,0.0009
139,-0.0007,-0.0007,-0.0006,-0.0006
140,0.0007,0.0007,0.0007,0.0007
141,-0.0012,-0.0012,0.0005,0.0005
142,0.0007,0.0007,0.0007,0.0007
143,-0.0009,-0.0009,-0.0007,-0.0007
144,0.0008,0.0008,0.0008,0.0008
145,-0.0008,-0.0008,0.0001,0.0001
146,-0.0012,-0.0012,0.0016,0.0016
147,-0.0005,-0.0005,-0.0005,-0.0005
148,0.0007,0.0007,0.0010,0.0010
149,-0.0003,-0.0003,-0.0003,-0.0003
150,0.0004,0.0004,0.0007,0.0007
151,-0.0008,-0.0008,-0.0006,-0.0006
152,0.0010,0.0010,0.0010,0.0010
153,-0.0011,-0.0011,0.0007,0.0007
154,-0.0012,-0.0012,0.0015,0.0015
155,-0.0005,-0.0005,-0.0003,-0.0003
156,0.0008,0.0008,0.0009,0.0009
157,-0.0004,-0.0004,-0.0004,-0.0004
158,0.0005,0.0005,0.0006,0.0006
159,-0.0007,-0.0007,-0.0005,-0.0005
160,0.0009,0.0009,0.0009,0.0009
161,-0.0011,-0.0011,0.0009,0.0009
162,-0.0009,-0.0009,0.0011,0.0011
163,-0.0006,-0.0006,-0.0006,-0.0006
164,0.0008,0.0008,0.0009,0.0009
165,-0.0005,-0.0005,-0.0005,-0.0005
166,0.0004,0.0004,0.0006,0.0006
167,-0.0007,-0.0007,-0.0006,-0.0006
168,0.0007,0.0007,0.0007,0.0007
169,-0.0013,-0.0013,0.0010,0.0010
170,-0.0009,-0.0009,0.0011,0.0011
171,-0.0005,-0.0005,-0.0005,-0.0005
172,0.0008,0.0008,0.0008,0.0008
173,-0.0004,-0.0004,-0.0004,-0.0004
174,0.0004,0.0004,0.0004,0.0004
175,-0.0005,-0.0005,-0.0003,-0.0003
176,0.0004,0.0004,0.0009,0.0009
177,-0.0006,-0.0006,0.0003,0.0003
178,0.0006,0.0006,0.0008,0.0008
179,-0.0005,-0.0005,-0.0004,-0.0004
180,0.0006,0.0006,0.0006,0.0006
181,-0.0008,-0.0008,0.0006,0.0006
182,0.0008,0.0008,0.0008,0.0008
183,-0.0005,-0.0005,-0.0001,-0.0001
184,0.0181,0.0181,0.0181,0.0181
185,-0.1477,0.8549,-0.1477,0.1044
186,0.4707,-1.0000,-0.4684,0.4707
187,0.0088,0.0088,0.0088,0.0088
188,-0.0337,-0.0337,-0.0359,0.0359
189,0.5295,-0.7498,0.8768,0.6914
190,0.1252,-0.1291,0.1252,-0.1252
191,0.2925,-0.3723,-0.2885,0.2925
192,-0.0434,1.4073,0.0434,0.0434
193,-0.1626,0.1192,1.4949,-0.1192
194,0.2918,2.6486,0.2819,-0.2918
195,-0.0713,-0.0713,-0.0822,0.0822
196,0.1526,-0.1702,0.1526,-0.1526
197,0.0897,1.4314,-0.0894,-0.0897
198,0.2848,-0.3628,1.0500,0.3628
199,0.4927,-0.7222,-0.6211,0.6331
200,0.0261,0.0261,0.0658,0.0658
201,0.0892,1.4323,-0.0892,-0.0892
202,0.0375,0.0375,0.0602,0.0602
203,-0.8829,-0.9260,0.9032,-0.9032
204,-0.4264,-0.7504,0.4723,-0.4264
205,0.0560,0.0134,-0.0134,0.0134
206,-0.0939,-1.1733,0.0939,-0.0939
207,0.2097,2.5136,0.2193,-0.2097
208,0.1100,1.4307,-0.1003,-0.1100
209,-0.2294,0.2294,0.7594,-0.2294
210,-0.2172,-0.2172,-0.2316,0.2316
211,0.0776,1.7607,-0.0639,-0.0776
212,-0.0587,-0.0830,-0.0587,0.0587
213,-0.3492,0.3037,-0.3037,0.3271
214,-0.4867,-0.4867,0.4833,0.4833
215,-0.2773,-0.2773,0.4213,0.4213
216,0.3368,-0.3893,1.3636,0.3893
217,-0.2558,-0.2383,1.4834,0.2383
218,-0.3601,-0.3601,-0.2356,-0.2356
219,0.1665,2.2405,-0.1638,-0.1665
220,0.1398,0.2738,0.2738,-0.3634
221,-0.3486,-0.9750,0.3486,-0.3486
222,-0.1864,1.2726,-0.1864,-0.0837
223,0.3086,-0.2705,0.2705,-0.2705
224,-0.2506,0.2506,1.2863,-0.2506
225,0.7826,-0.7826,-0.7826,-0.8917
226,0.4174,2.0731,0.4069,-0.4174
227,0.0981,2.3645,-0.0981,-0.0981
228,-0.5096,-0.7545,0.6020,-0.5096
229,0.2489,-0.3410,-0.4103,-0.4103
230,0.2334,-0.3968,-0.2334,0.2334
231,0.6604,-0.7109,0.6741,0.6604
232,0.1553,0.1553,0.1869,0.1869
233,-0.5698,-0.5698,0.4714,0.4714
234,-0.2893,0.2893,-0.3978,0.2893
235,0.1456,0.1357,-0.1357,0.1357
236,-0.1902,-0.1902,-0.0672,-0.0672
237,-0.0676,-0.0676,-0.0915,0.0915
238,0.1141,-0.1179,0.1141,-0.1141
239,0.3216,0.4844,-0.6174,0.5283
240,0.0437,0.0437,-0.0676,0.0676
241,-0.4454,-0.2497,0.8483,0.2497
242,0.2216,0.2216,0.2488,0.2488
243,-0.0194,-0.0194,-0.0377,0.0377
244,0.3965,-0.3965,1.0071,0.3965
245,0.0734,0.0734,0.2804,0.2804
246,-0.2822,-0.2822,-0.2393,-0.2393
247,-0.1210,1.5180,-0.1210,-0.1198
248,0.0957,0.0957,0.1345,0.1345
249,0.0162,0.0162,-0.0173,0.0173
250,0.0307,0.0307,-0.0352,0.0352
251,-0.2260,1.2366,-0.2260,0.2170
252,0.2309,1.4851,-0.2309,-0.2309
253,0.2434,-0.1330,0.1330,-0.1330
