simbolo,llr0,llr1,llr2,llr3
0,-1.3450,1.4147,-1.4041,-2.6685
1,-0.9852,-0.9852,-0.9852,-2.5057
2,-0.4179,-0.6076,-0.4179,-0.4604
3,-0.8940,0.6511,0.6511,-1.1350
4,0.4189,0.5483,1.2808,0.5483
5,-0.5679,-1.4687,-0.5679,-0.6674
6,-0.9892,-0.3261,-1.0521,-1.4158
7,1.6932,-0.8383,-1.6735,-1.7378
8,0.5707,0.1683,-0.5707,-1.0450
9,0.7040,0.7040,0.7040,-1.0829
10,1.9790,-0.5871,-0.5871,-1.1528
11,-1.0390,-1.0390,1.0390,-1.5711
12,-0.5518,0.7231,-0.4928,-1.0486
13,-0.9169,0.9697,-0.9169,-0.9169
14,-0.4684,0.4684,-0.7395,-0.7886
15,-0.3308,0.4124,-0.6521,-0.8354
16,0.1326,-0.1326,0.1326,-1.5073
17,1.4589,-1.3814,-1.3814,-1.3814
18,-0.7514,1.6846,-0.7514,-1.0806
19,0.5759,0.5759,0.5759,-1.2371
20,1.5563,-0.9860,-1.5563,-1.7119
21,-0.7874,0.6871,-0.6871,-0.7186
22,-0.3040,0.3040,-0.0859,-0.0859
23,-0.6805,-0.6805,-0.6805,-1.2934
24,-0.5322,0.3161,0.3161,-1.7329
25,-0.5695,1.2154,0.7460,-1.0028
26,-1.7081,-1.6130,-1.6206,-1.6206
27,1.1023,-1.1023,-1.4002,-1.1077
28,-1.4617,1.5557,-1.4617,-1.5557
29,0.4485,-0.4759,0.4485,-0.6385
30,0.2946,-0.2946,0.2946,0.2946
31,1.7239,-0.9518,-0.9518,-1.5930
32,0.6187,0.6187,-1.3226,-1.5558
33,0.4028,0.4028,-0.4028,-1.2346
34,0.5006,0.6126,0.6126,-0.5006
35,-1.0352,-0.7732,0.7732,0.4156
36,-0.2372,-0.2372,0.3014,-0.8809
37,-0.1539,-0.2341,-0.2341,-0.2341
38,1.2138,-0.8999,-0.8999,-1.2138
39,-0.4393,-0.4393,-0.8935,-2.1697
40,-0.4215,0.4215,0.5489,-0.4215
41,0.5065,0.5065,0.5065,-0.5065
42,-0.9419,-0.6468,0.6468,-0.7106
43,0.5494,-1.0770,-0.6097,-1.5174
44,-1.1986,-1.5846,-1.5846,-1.7166
45,-0.8074,-0.7063,0.9809,-0.7063
46,1.1475,-1.3817,-1.1475,-1.2746
47,0.7508,0.9287,-0.7508,-1.7807
48,1.5755,-1.5755,-1.5755,-1.7372
49,-0.8506,-0.8506,-1.2760,-1.2760
50,0.2908,-0.6683,-0.6683,-0.6683
51,-0.2592,0.5965,1.1424,-2.3614
52,0.5238,-0.5238,0.6408,-0.6330
53,0.6720,-0.6487,0.6720,-0.7142
54,-1.1561,-0.6458,0.4739,-0.6699
