stem,modo,baud,gain,fec_repeat,bytes,acerto_bits,bloco_ok,pico_rx,rms_rx
20260903-172504-rep1-B2A,mary,100,1.0,1,48,94.09,1,0.1919,0.0312
20260903-172511-rep1-B2A,mary,100,1.0,1,48,90.76,1,0.2037,0.0336
20260903-172519-rep1-B2A,mary,100,1.0,1,48,90.51,1,0.1867,0.0306
20260903-172526-rep1-B2A,mary,100,1.0,1,48,93.17,1,0.1841,0.031
20260903-172550-rep4-B2A,mary,100,1.0,4,48,63.17,1,0.1954,0.0443
20260903-172606-rep4-B2A,mary,100,1.0,4,48,91.89,1,0.193,0.0414
20260903-172623-rep4-B2A,mary,100,1.0,4,48,92.0,1,0.1934,0.0371
20260903-172639-rep4-B2A,mary,100,1.0,4,48,92.42,1,0.1941,0.0381
20260903-172703-rep2-B2A,mary,100,1.0,2,48,92.07,1,0.2057,0.0349
20260903-172714-rep2-B2A,mary,100,1.0,2,48,92.03,1,0.1973,0.0374
20260903-172724-rep2-B2A,mary,100,1.0,2,48,92.28,1,0.1915,0.035
20260903-172735-rep2-B2A,mary,100,1.0,2,48,91.31,1,0.1775,0.0322
