simbolo,llr0,llr1,llr2,llr3
0,-1.3451,-0.8598,0.8598,0.8598
1,1.5629,1.5145,1.3284,-1.3284
2,-0.4801,0.4801,0.6108,-0.6108
3,0.6160,0.7955,-0.6160,0.7955
4,-1.0814,-1.3993,-1.3603,-1.0814
5,-0.7425,-0.4097,-0.4097,-0.4097
6,-0.4767,-0.6100,-0.4767,0.4767
7,0.8917,0.8917,-0.8600,-0.8600
8,3.2316,2.6513,-3.2316,-3.6640
9,3.1129,-4.1088,-4.1088,-4.5779
10,-2.0137,-2.0137,-1.5347,-1.5347
11,-0.6738,-1.1984,-0.6738,-0.6738
12,-0.7539,0.6717,-0.6717,-0.7539
13,0.2430,-0.3981,0.3981,0.4270
14,0.4535,-0.4535,-0.4535,-0.4535
15,-1.5952,-1.3752,-1.3752,-1.3776
16,-0.6318,-0.6318,1.0956,0.6318
17,-0.2301,0.3731,-0.2072,-0.1648
18,-0.4939,1.2272,0.4939,0.5351
19,-0.3710,0.3710,-0.3710,-0.3710
20,0.7584,-0.6517,0.6517,-0.8587
21,1.0282,0.6206,-0.6206,-0.6206
22,0.1839,0.4295,0.1839,-0.1839
23,0.5224,0.5224,0.6657,-1.3143
24,0.9934,0.9934,-1.3491,-0.3981
25,0.6251,0.7026,-0.4417,-0.6251
26,-0.1695,-0.1695,0.1959,-0.1695
27,-1.4644,2.1101,-1.1396,-1.1396
28,-0.3327,0.3327,0.3327,-0.3327
29,0.5111,-0.5111,0.5111,-1.0182
30,-1.2177,1.1025,-1.2177,-1.1025
31,0.6985,0.6985,1.0216,0.6985
32,0.4551,0.8812,-0.3922,0.3922
33,1.2350,-0.9597,1.2350,0.9597
34,1.0252,-0.9511,-0.2070,0.5821
35,-0.1635,0.2123,0.9245,-0.1635
36,-1.1478,1.1446,1.1446,-1.1446
37,0.5205,-0.5205,-0.7431,0.5205
38,0.3862,0.3215,-0.7254,-0.7254
39,-1.9388,1.6659,-1.6659,-2.2286
40,0.8166,0.2868,0.2841,-0.2841
41,0.3423,0.3423,0.7394,-1.4396
42,1.3547,-1.3547,1.1432,-1.1432
43,-1.5449,1.0165,1.0165,-1.0165
44,-0.2275,-0.9362,0.5504,-0.9362
45,-0.2851,0.6902,1.0142,0.2851
46,0.5188,1.0180,1.0180,-1.3639
47,-0.8158,-0.8158,-0.8158,0.8158
48,-0.2600,0.2600,-0.2600,-0.2600
49,-0.2616,0.2616,-0.2616,-0.4941
50,0.3506,-0.4132,-0.4132,0.3506
51,-1.0526,1.0526,-1.0526,-1.0526
52,0.2528,0.4532,0.2972,0.2528
53,-0.4797,0.3625,-0.6916,-0.5224
54,-1.0138,1.4289,-1.6618,-1.4289
55,-0.6731,-0.9995,-0.6731,-0.5593
56,-0.5911,-0.5911,-0.8097,-0.5911
57,-0.5637,1.0475,-0.5637,0.7895
58,-0.4463,0.4079,-0.4079,-0.4079
59,-1.1497,0.6666,1.1497,1.1056
60,0.5305,0.7804,0.3198,-0.0167
61,-0.4778,0.4778,-0.5104,-0.4707
62,-0.6203,-0.9528,-0.6203,0.6203
63,-1.8437,1.6250,1.6126,-1.9736
64,1.3396,-0.8943,-0.6516,-0.8943
65,0.5263,-0.3642,0.5698,0.3642
66,-0.4865,-0.4865,-0.5906,-0.9683
67,-0.6253,0.6253,-0.5226,-0.6253
68,-1.0939,1.3714,1.0939,-1.6421
69,-1.1648,0.8139,-1.4289,-1.1648
70,0.5208,0.8874,0.5208,-1.1863
71,-0.5880,-0.5880,-0.5880,-0.7013
72,-0.8923,0.6574,0.6574,1.2424
73,-0.4802,1.3511,-0.4802,-1.2475
74,0.6066,0.6066,0.6066,-0.4156
75,-0.8548,-0.6086,1.2621,-0.7386
76,-1.8385,1.5791,-1.5791,-1.8385
77,0.8322,0.9626,-0.6255,0.6255
78,-0.9449,-1.4254,-1.4254,-1.4411
79,-1.1414,1.0221,-0.8014,-0.8014
80,-1.1109,-0.3669,-1.1488,-1.1109
81,-0.2375,-0.5854,0.2375,0.5854
82,0.4242,0.4242,0.4242,-1.1343
83,-0.7390,0.8317,-0.7390,-1.4681
84,0.8000,0.6032,0.6032,0.6302
85,-1.0424,-0.7119,-1.0424,-1.0424
86,0.7741,0.7163,-0.7163,0.7741
87,-0.7250,0.4896,-0.7250,-1.4257
88,-0.8536,-0.8378,1.1706,-0.8536
89,-1.4263,-0.7368,-1.3421,-1.2696
90,-0.8931,-0.8931,-0.8931,-1.4013
91,-1.8544,-1.4363,-1.4046,-1.4770
92,0.2589,-0.2589,0.7537,-0.9217
93,-1.0633,-1.6794,-1.6164,-1.0633
94,-1.0165,-1.0165,-1.0165,-1.0165
95,-1.8402,-2.1722,-1.8402,-2.1722
96,-0.8522,0.8880,-0.8522,-0.8880
97,-0.5789,-0.5789,-0.5789,-0.5973
98,0.3122,0.3122,-0.3097,-0.3122
99,-1.7086,-1.1280,-1.4763,-1.3635
100,-1.1270,-0.9372,-1.1289,-1.5823
101,-0.7228,-0.4098,-0.4098,-0.7228
102,-0.6582,-0.9113,-0.9113,-1.8452
103,0.2581,0.9174,0.2581,-1.1251
104,-1.0380,-1.1877,-0.9357,-0.9357
105,-1.4137,-1.4137,-1.4137,-1.4205
106,-0.6945,-0.6945,-0.6945,-0.6945
107,-2.2438,-4.2927,-3.8230,-3.9468
108,-3.7059,-3.7059,-4.1478,-4.1478
109,2.4161,2.4161,2.4161,2.4161
110,-2.5525,-3.0724,-3.2369,-3.2369
111,0.9984,0.9984,0.9984,0.9984
112,-4.1556,-4.1556,-4.2122,-4.6115
113,-3.5814,-3.5814,-3.5814,-3.5814
114,-5.3219,-5.9619,-5.9578,-6.0665
115,-4.7482,-4.7482,-4.7482,-4.7482
116,-5.7539,-5.8381,-5.8381,-5.9838
117,-4.4463,-4.7785,-5.0377,-4.4463
118,-6.0787,-6.0787,-6.5957,-6.4202
119,-4.9974,-4.3862,-5.3179,-5.3536
120,-6.4876,-6.6511,-6.8779,-6.4876
121,-5.2499,-6.0531,-5.5613,-5.2499
122,-6.7211,-6.8814,-6.2681,-6.3427
123,-6.4229,-6.4229,-6.6505,-6.6996
124,-6.7139,-7.4279,-6.4988,-7.2094
125,-6.3890,-6.3940,-6.3890,-6.3940
126,-6.5590,-7.0076,-6.5590,-6.6849
127,-6.2878,-6.4679,-6.5633,-6.2878
128,-6.9227,-6.3070,-6.3070,-7.3834
129,-5.8831,-5.8831,-5.8831,-6.2264
130,-7.4966,-7.5646,-7.6185,-7.6185
131,-6.4550,-7.2533,-6.8877,-6.8877
132,-6.8087,-7.5106,-6.8087,-7.9126
133,-6.0034,-6.0326,-6.5098,-6.7707
134,-6.5021,-7.0945,-6.7292,-6.5021
135,-6.8465,-6.3571,-6.3571,-7.1969
136,-7.5256,-7.0840,-6.8899,-6.8899
137,-6.6341,-6.1465,-6.1465,-7.2764
138,-6.5140,-7.2214,-6.8616,-6.5140
139,-6.6266,-6.8896,-6.8896,-7.3253
140,-7.1675,-7.8720,-7.2843,-7.1675
141,-6.7393,-6.7183,-7.0356,-7.1534
142,-6.7598,-7.1716,-6.9275,-6.7598
143,-6.1563,-6.1563,-6.1563,-7.2338
144,-7.1732,-7.1732,-7.1732,-7.4200
145,-6.4478,-6.4478,-6.4478,-7.3366
146,-6.6909,-7.2413,-6.8699,-6.6909
147,-6.3811,-6.3811,-6.3811,-7.2289
148,-7.1769,-7.1769,-7.1769,-7.4436
149,-6.8901,-6.8901,-6.8901,-7.3460
150,-6.5698,-7.4188,-6.8763,-6.5698
151,-6.7057,-6.7057,-6.7057,-7.3176
152,-7.1158,-7.1158,-7.1158,-7.7367
153,-7.1936,-6.6582,-6.6582,-7.3608
154,-6.6367,-7.3038,-6.8533,-6.6367
155,-6.8974,-6.6280,-6.6280,-7.2731
156,-7.2021,-7.2021,-7.2021,-7.6999
157,-7.3780,-6.7217,-6.7217,-7.4468
158,-6.8997,-7.6594,-6.8933,-6.8997
159,-6.8274,-6.3762,-6.3762,-7.2210
160,-7.2793,-7.2793,-7.2793,-7.7384
161,-6.1352,-6.0486,-6.0486,-6.1352
162,-6.5350,-6.3657,-6.3657,-8.0115
163,-5.9210,-5.8411,-5.8411,-5.9210
164,-6.5259,-6.6820,-6.5259,-7.4240
165,-6.3077,-6.3077,-6.3077,-6.3077
166,-6.9685,-6.8703,-6.8703,-8.0319
167,-5.9849,-6.0540,-6.0540,-5.9849
168,-6.7841,-6.8259,-6.7841,-7.6292
169,-6.3656,-6.3656,-6.3790,-6.3790
170,-7.1243,-7.0130,-7.0130,-8.1080
171,-6.7386,-6.2414,-6.2414,-7.3707
172,-7.4555,-7.5159,-7.3923,-7.4555
173,-6.8366,-6.4456,-6.4456,-7.4348
174,-7.0463,-7.1914,-7.1324,-7.0463
175,-6.9716,-6.4212,-6.4212,-7.4461
176,-7.3633,-7.3633,-7.3120,-7.3633
177,-6.8369,-6.4427,-6.4427,-7.4795
178,-7.1972,-7.1641,-7.1448,-7.1972
179,-6.9977,-6.4430,-6.4430,-7.4343
180,-7.2992,-7.3038,-7.2889,-7.2992
181,-6.9894,-6.7272,-6.7272,-7.4715
182,-7.3311,-7.5024,-7.1553,-7.3311
183,-7.3038,-6.7819,-6.7819,-7.5898
184,-7.2509,-7.2786,-7.2133,-7.2509
185,-7.0433,-6.8740,-6.8740,-7.5223
186,-7.4998,-7.7141,-7.2019,-7.4998
187,-7.3126,-7.0419,-7.0419,-7.5374
188,-7.1516,-7.1516,-7.1673,-7.1516
189,-6.9630,-6.9630,-6.9630,-7.4745
190,-7.7342,-7.8161,-7.3018,-7.7342
191,-7.3877,-7.0294,-7.0294,-7.6782
192,-7.2808,-7.2873,-7.1823,-7.2808
193,-7.0258,-6.8591,-6.8591,-7.4706
194,-7.9391,-7.9391,-7.3453,-7.9668
195,-7.3564,-7.1772,-7.1772,-7.5800
196,-7.4105,-7.4617,-7.2955,-7.4105
197,-7.0260,-6.9947,-6.9947,-7.4726
198,-7.9588,-7.9588,-7.5500,-8.2552
199,-7.4144,-7.1695,-7.1695,-7.5645
200,-7.2278,-7.4141,-7.2684,-7.2278
201,-7.1003,-6.9643,-6.9643,-7.2832
202,-7.9523,-7.8840,-7.7786,-7.8840
203,-6.4062,-6.4062,-6.4062,-6.4062
204,-6.7841,-6.6554,-6.6554,-6.6554
205,-6.6808,-6.6644,-6.6644,-6.6644
206,-7.3555,-7.3555,-7.7724,-8.1147
207,-6.7665,-6.7665,-6.7665,-6.7665
208,-6.7005,-6.8328,-6.7931,-6.7005
209,-7.1752,-6.6950,-6.6950,-6.6950
210,-7.3169,-7.3169,-7.6281,-8.2123
211,-6.8973,-6.8973,-6.8973,-6.8973
212,-7.0288,-6.5506,-6.5506,-6.5506
213,-6.7996,-6.7996,-6.7996,-7.3524
214,-6.6866,-6.6866,-6.6299,-6.6299
215,-6.9136,-6.8483,-6.8483,-6.8483
216,-6.9373,-7.1529,-7.2651,-6.9373
217,-6.9996,-7.2385,-6.9996,-6.9996
218,-7.5153,-7.5153,-7.6539,-7.9253
219,-6.6625,-6.6625,-6.6625,-6.6625
220,-7.6474,-6.9679,-6.9679,-6.9679
221,-6.6683,-6.6683,-6.6683,-7.2172
222,-6.7176,-6.5546,-6.5546,-6.5546
223,-6.8682,-6.8682,-6.8682,-7.3186
224,-7.7909,-7.2081,-7.2081,-7.2081
225,-6.7521,-6.7521,-6.7521,-7.2978
226,-7.1186,-7.1186,-7.1186,-7.6329
227,-4.5758,-6.6327,-6.6327,-4.5758
228,-3.6017,1.7211,-4.7624,1.7211
229,-2.8576,-3.0943,-4.3347,-2.8576
230,-3.3567,-2.2534,-3.4248,-2.2534
231,-2.8541,-4.4931,-4.4931,-2.0151
232,-1.7764,-4.3790,-1.7764,-1.7764
233,-4.2386,-5.6351,-4.2386,-4.8601
234,-3.6503,-4.0422,-4.1516,-3.6503
235,-4.3437,-4.1433,-4.3437,-4.1433
236,-3.1885,-2.2937,-2.6087,-1.5402
237,-2.9367,-2.8767,-4.2043,-1.6000
238,-2.1442,1.6249,-4.3986,1.6249
239,-1.8565,-1.9596,-1.5447,-1.5447
240,-1.9041,-0.3885,-3.8556,-0.3885
241,-4.1394,-4.0017,-4.3013,-4.0017
242,-3.7867,-3.3547,-3.3547,-2.3762
243,-1.8775,-2.5056,-1.8775,-1.8775
244,-1.2710,-1.2710,-1.5295,0.3460
245,-1.6046,-2.7312,1.7971,1.7971
246,-2.7551,-2.7362,1.8711,-3.8284
247,0.9524,0.9524,0.9524,-5.3290
248,1.0226,1.0226,1.0226,-2.0637
249,2.7449,4.1275,2.7449,-4.5923
250,0.2643,1.3482,1.3482,-0.2643
251,-0.6928,-0.6928,-0.6928,-3.8205
252,-0.9658,-0.6581,-0.6027,-0.6581
253,0.5673,0.5673,0.5673,-1.5933
254,2.1243,1.9979,2.3395,-1.9979
255,0.9298,0.9298,2.7111,-3.1880
256,1.9641,1.9641,2.6572,-2.9980
257,0.4203,1.1317,0.4203,-0.7586
258,2.0049,2.0049,-1.3368,-3.5316
259,1.6832,1.6832,1.6832,-2.5843
260,0.6379,1.5253,0.6379,-0.8518
261,-1.5343,-1.5343,2.1200,-2.2930
262,0.9377,0.9377,0.9377,-2.1682
263,-1.2689,3.0471,1.7212,1.2689
264,-1.1540,2.0593,-1.1540,-2.5921
265,1.8728,2.5180,1.8728,-2.5180
266,1.8849,2.2625,1.8849,-2.0693
267,2.0014,2.1382,2.5660,-2.1382
268,2.2368,1.8673,3.1782,-1.8673
269,1.4396,1.1216,1.4396,-1.1216
270,0.4725,2.7340,2.2928,-0.4725
271,2.8260,1.6262,1.6262,-1.6262
272,1.9251,2.6685,1.9251,-2.4914
273,3.1081,3.0494,3.0494,-3.0494
274,1.7944,2.7022,1.7944,-2.7022
275,0.8502,1.3225,0.8502,-1.1930
276,1.0792,2.2395,1.9205,-1.0792
277,1.2133,1.2133,1.2133,-1.2133
278,2.6318,3.7811,2.6318,-1.9788
279,1.1334,1.3476,1.3476,-1.3476
280,1.2255,1.2255,0.9105,-0.9105
281,-2.9726,3.1868,-2.8210,1.9326
282,1.9904,1.9994,2.7015,-0.3671
283,1.4411,1.4411,1.4411,-1.4411
284,1.9329,1.9329,1.7536,-1.7536
285,2.6090,3.7414,-0.4066,0.4066
286,-1.0517,-1.0517,1.5064,1.0517
287,-1.1441,-1.1441,1.3941,-1.3941
288,-2.5641,2.5641,-2.5641,-2.5641
289,-1.8386,-1.8386,-1.8386,-3.3091
290,-0.5066,-1.0191,-1.2909,-0.5066
291,-0.7526,-0.7526,-0.7575,-0.7526
292,-2.1115,-2.1115,-2.1115,-2.2600
293,1.2356,1.2356,-2.7746,1.2356
294,-1.6268,-1.6268,-1.2523,-1.2523
295,-1.4575,-1.4575,-0.4883,-2.1302
296,2.7469,2.6984,-3.2878,-2.6984
297,-1.8456,1.7637,1.8456,1.9581
298,-1.5818,-2.3587,-2.4706,-1.5818
299,0.7592,0.7592,-0.7592,-1.3037
300,0.8816,-0.8816,-0.8816,0.5868
301,0.5053,0.5053,-1.4123,-0.5053
302,-2.1382,2.3985,-2.1382,-3.1740
303,2.4009,2.4009,2.4009,-2.8866
304,-0.7340,-0.6547,-0.7340,0.6547
305,0.1907,-0.2789,0.1907,0.1907
306,1.5737,-1.3993,-1.3993,1.3993
307,0.8575,-1.7289,-1.6671,0.8575
308,0.6232,0.6232,0.6232,-0.6232
309,2.3731,2.1160,2.1442,-2.1160
310,1.1626,-1.1626,-1.6052,-1.1861
311,2.4044,2.5872,2.4305,-2.8894
312,1.1593,0.8830,0.8830,-1.2349
313,1.5462,1.5462,-1.6602,1.4200
314,-2.5056,2.5056,2.5056,-3.2332
315,0.5997,0.7509,-0.5997,0.5997
316,-1.0452,1.0452,1.2319,-1.9292
317,1.6976,2.0164,1.6976,-2.1878
318,0.8349,1.8394,1.2882,-1.4647
319,1.5599,0.4521,-0.3352,0.3352
320,-0.5253,-1.1983,-1.1983,0.5253
321,0.4446,0.4446,0.3470,-0.3470
322,-1.9556,-1.9556,-1.9556,-2.9385
323,-0.6477,0.5877,0.5877,-0.6672
324,-2.0124,1.3881,1.3881,-2.0124
325,0.5118,-0.2428,-0.4386,0.4386
326,2.5744,2.6594,2.5167,-2.9584
327,-1.9996,1.9996,1.9996,-2.3083
328,2.5461,2.0602,2.5461,-2.6362
329,2.2014,2.4339,3.0392,-2.6674
330,0.5579,1.2514,2.0773,-1.5319
331,-0.7362,0.7693,0.7693,-1.1789
332,-0.8139,1.8284,1.6723,-2.3772
333,-0.9035,1.5834,-0.9035,0.9035
334,0.9916,0.9916,0.9916,-2.8955
335,1.0399,1.0399,1.0399,-2.7133
336,1.5531,1.5531,1.5531,-2.0345
337,0.5925,1.9210,2.4241,-0.5925
338,-2.8196,2.1600,3.1687,-3.9885
339,1.3670,0.9354,1.3670,-0.9354
340,-0.9562,1.1942,1.1547,-1.6670
341,0.3929,0.4271,0.3929,-0.3929
342,-0.8949,0.8949,1.0875,-1.7951
343,-0.9282,-1.1281,-0.4401,-0.4401
344,-1.5251,-1.6475,2.8310,-2.4514
345,-1.4302,1.5032,2.8762,-2.6023
346,0.9080,-0.9080,1.8796,-2.5476
347,1.0542,1.5601,2.3197,-3.0500
348,-1.9556,-1.8133,-1.8133,-1.9178
349,1.1965,1.1965,1.1965,1.1965
350,0.8171,1.0346,1.0346,1.0346
351,1.1455,-1.1455,-1.1455,0.3695
352,-0.2638,-0.2638,-0.2638,-2.3203
353,2.3367,2.3367,-1.2235,-2.9465
354,0.4289,0.4289,0.4289,0.4289
355,-1.1615,-1.3761,-1.4916,0.9040
356,1.1380,1.1380,-0.5352,-0.5352
357,0.5546,0.5280,-0.5546,-0.5280
358,0.5655,0.5655,-0.8323,-0.8323
359,1.1615,-1.3692,1.1615,1.1615
360,1.5614,-1.3243,1.3861,1.3861
361,2.3321,2.2454,2.4004,-1.8836
362,0.7740,-0.5991,1.2032,0.5991
363,-2.9808,2.9808,-2.7583,2.9894
364,-2.4497,-2.4643,-2.8377,2.9693
365,-1.7814,-2.0253,-1.7814,-1.7814
366,-0.7918,-1.1750,-0.7918,1.1750
367,1.2885,1.2885,0.9540,-0.9540
368,2.3921,1.9624,2.5011,-1.7454
369,1.7899,-0.4949,-0.4949,0.4949
370,0.7415,0.7415,0.7415,-1.0410
371,0.5759,-0.5759,-2.6938,1.2123
