simbolo,llr0,llr1,llr2,llr3
0,-1.8252,-0.8565,-2.5085,-2.8983
1,0.9903,1.0115,-1.4028,-3.2298
2,0.3428,0.1219,0.1219,-2.2331
3,2.0003,2.0003,-3.3631,-3.7347
4,-1.4436,1.4436,-2.8925,-3.5624
5,-0.9225,1.2231,1.2200,-2.5527
6,-1.5625,0.8810,1.5625,-2.3532
7,-1.7981,-0.9201,-0.9201,-1.7981
8,-0.5635,-0.5635,-3.2538,-3.4979
9,0.6907,0.6907,-1.4584,-3.2520
10,1.3885,2.1884,-1.8572,-2.1825
11,-0.7666,1.2778,-0.7951,-2.6969
12,-2.0263,-0.8317,0.9922,-2.8217
13,-0.5914,-0.5914,-1.1735,-2.4248
14,1.9038,1.1584,-1.7231,-0.7853
15,-0.5316,1.3262,-0.7317,-0.5640
16,-0.6385,-0.6385,0.6385,-0.8618
17,-0.3696,-1.0508,1.0508,1.0508
18,0.4475,0.1906,-0.1906,-0.1906
19,0.9913,0.5490,-1.1438,0.9913
20,0.6645,0.6645,-0.9789,-1.4101
21,0.6076,0.6076,-0.6076,-1.8868
22,0.6146,1.9656,-0.6146,-1.5316
23,0.4817,0.4029,0.4029,-2.0683
24,1.6802,1.6802,-1.8078,-2.8458
25,0.8133,0.8133,-0.8133,-2.3731
26,-0.5610,0.9630,-0.9630,-1.7405
27,1.8054,1.8054,-2.4455,-2.7337
28,0.9005,1.4209,1.1193,-2.5805
29,-0.7238,-0.1010,-0.1010,-0.7238
30,2.3079,2.3079,-1.8322,-3.3711
31,2.4773,2.7747,-2.6896,-2.9502
32,1.1595,2.1776,-1.3231,-3.2605
33,-0.8107,-0.8919,-1.0217,-1.0217
34,1.3093,1.3093,-1.3093,-3.2966
35,0.2644,0.1185,-0.1185,-1.3778
36,1.1119,1.1119,-1.3264,-2.1416
37,1.1687,1.7267,-1.5031,-2.7815
38,0.8094,1.5940,-1.5286,-2.9185
39,1.0843,1.5273,-1.1692,-1.6818
40,2.0697,3.0092,-2.0470,-2.3624
41,-1.1977,1.7629,-1.7629,-2.5800
42,1.4408,1.8856,1.5623,-2.6586
43,-0.8637,0.8637,-1.2973,-2.4582
44,1.0946,0.9578,0.9578,-2.5701
45,2.3169,1.7523,-1.5773,-1.5773
46,2.0415,2.0415,-1.5911,-1.5911
47,0.9624,0.9624,-1.5628,-1.5628
48,1.7535,1.4275,-0.8690,-2.4294
49,0.9952,0.9952,-0.9952,-1.7806
50,0.5901,0.1341,-0.3959,-1.1465
51,-0.6259,0.6259,-0.6259,-2.4198
52,1.5103,1.5177,-1.5103,-2.8771
53,-0.3857,0.4654,0.3857,-2.4451
54,1.1445,2.0997,-2.0997,-2.6512
55,2.3698,2.3698,-2.5611,-2.7157
56,-1.3166,1.0921,-0.4475,-1.3593
57,0.7212,0.7212,-2.1753,-2.2985
58,0.8984,0.8984,-1.8276,-1.9872
59,2.5969,3.7773,-4.1193,-4.1193
60,1.3272,1.3272,-1.3272,-2.0267
61,1.0823,0.9027,-1.1850,-3.2293
62,0.9748,1.6313,-0.9748,-2.3646
63,1.1169,3.0995,-1.1169,-3.0014
64,-0.3764,0.5712,0.5896,-0.3764
65,0.6367,0.8623,-0.6367,-2.5542
66,1.3546,1.3546,-1.3546,-3.1867
67,1.3666,0.9921,-1.2251,-3.4762
68,1.6045,1.6045,-2.3844,-2.3844
69,0.6197,-1.0040,-0.6197,-1.5727
70,0.7914,1.5745,-0.7914,-1.2421
71,1.9516,-2.5715,-3.1500,-3.6648
72,1.0588,-1.0588,-1.7193,-1.7193
73,1.8654,1.8654,-1.8654,-3.8794
74,2.5826,1.6167,-1.6167,-2.2265
75,0.7556,3.1759,-3.1754,-3.4418
76,2.3395,2.0403,-2.0403,-4.2711
77,1.7363,1.2567,-1.7363,-1.7363
78,-1.2547,2.2145,-2.2145,-1.7256
79,-1.0344,1.4725,-1.0344,1.0344
80,0.5319,0.6666,-0.5319,-0.5319
81,1.2762,1.4176,-1.5542,1.5542
82,-1.5974,1.5974,-2.9271,3.3052
83,-0.8494,2.6909,-2.8294,2.8294
84,-3.4057,2.6284,-2.0229,2.0229
85,-1.5873,2.0671,-1.4639,1.4639
86,-0.4292,1.3934,0.4292,-0.7010
87,-0.4062,-0.4062,-0.6566,0.6566
88,-0.5333,-0.5333,0.5333,-1.0137
89,-1.3922,1.3150,-1.6415,1.3150
90,-1.5256,3.7161,-2.3846,1.5256
91,-0.7100,1.5761,-1.5761,0.7100
92,-0.7329,-0.7225,-0.6892,-0.6892
93,-0.9642,1.9936,-1.5554,0.9642
94,-0.5653,0.5653,-0.5653,0.5170
95,0.7571,0.9738,-0.9738,-0.7571
96,1.0897,1.4245,-1.4245,-1.0897
97,1.2263,1.1160,-1.2263,-1.6927
98,0.4289,-0.4647,0.4093,-0.4093
99,1.5941,1.1993,-1.1993,-3.0674
100,-1.0521,-1.1922,-1.0826,-1.0826
101,1.6729,2.1662,-2.8112,-3.2173
102,1.1297,1.2783,-1.2783,-2.0583
103,0.8959,0.8959,-0.8959,-1.0247
104,1.2178,0.9567,-2.0432,-2.3272
105,0.8808,0.8808,-1.7065,-0.9191
106,1.1008,1.1008,-1.1008,-2.8211
107,1.1636,0.4180,-1.6070,-1.6184
108,0.8584,1.0788,-0.8584,-0.8584
109,-0.7002,0.7466,-0.7002,-0.7002
110,0.9117,-0.5329,-0.2645,-0.9117
111,-1.1994,-0.9720,-0.9720,-0.9720
112,1.9379,-0.9389,-1.2888,-1.9820
113,0.7053,-0.7053,-2.1221,-2.7029
114,-0.9141,-0.9141,-0.9141,-0.9141
115,-0.9976,-0.5922,-1.5570,-1.5570
116,-0.1424,-0.1424,0.1424,-1.8513
117,-0.8987,-0.8987,-0.8987,-0.8987
118,-1.8846,-1.0927,-1.0927,-1.0927
119,-0.2174,-1.6829,-1.6497,-1.6829
120,0.9739,-0.9739,-1.2952,-2.0197
121,-2.0590,-1.9956,-1.7689,-1.9956
122,-0.1153,-0.4107,-0.1153,-0.4107
123,-0.4706,0.9581,0.7003,0.7003
124,2.0765,2.3788,3.0363,3.0363
125,-1.1651,-1.1651,-1.1068,-1.1651
126,2.5538,3.8902,3.8238,3.7631
127,-1.4057,-1.4057,-1.1348,-1.4057
128,2.1606,2.1606,2.1606,2.1606
129,-1.1526,-1.1526,-1.1526,-1.1526
130,2.9994,2.9767,3.7758,2.9767
131,-1.3324,-1.3324,-1.3324,-1.3324
132,2.6076,2.9206,2.9206,2.9206
133,-1.6410,-1.6410,-1.6187,-1.6187
134,2.5404,2.9934,2.9934,2.9934
135,-1.1278,-1.1278,-1.1278,-1.1278
136,2.3501,2.5105,2.5105,2.5105
137,-0.8413,-0.8413,-0.8413,-0.8413
138,2.5045,2.4197,2.4197,2.4197
139,-1.8490,-1.8490,-0.9995,-0.9995
140,2.7776,2.9401,2.7776,2.7776
141,-2.2135,-2.2135,-1.9137,-1.9137
142,2.4241,2.4241,2.4241,2.4241
143,-1.2676,-1.2676,-1.0547,-1.0547
144,3.0574,2.9317,2.6856,2.6370
145,-1.2181,-1.2181,-1.2181,-1.2181
146,2.5182,3.2708,3.2708,3.2708
147,-2.2165,-2.2165,-1.4441,-1.4441
148,2.5295,2.5295,2.5295,2.5295
149,-2.1004,-2.1004,-2.1004,-2.1004
150,2.5889,2.9972,2.5456,2.5456
151,-1.5589,-0.9396,-0.7114,-0.7114
152,2.5788,2.5788,2.5788,2.5788
153,-1.2374,-1.2374,-1.2374,-1.2374
154,2.4309,2.4309,2.4309,2.4309
155,-0.8755,-0.9887,-0.8755,-0.9887
156,2.8633,2.5930,2.9630,2.5930
157,-1.9875,-1.9875,-1.9875,-1.9875
158,1.7645,2.3517,1.5297,1.5297
159,-1.3433,-1.2417,-1.3433,-1.3433
160,2.1627,2.1627,2.1627,2.1627
161,-1.5367,-1.5367,-1.4341,-1.4341
162,1.4422,1.4422,2.5189,1.4422
163,-2.0751,-1.9590,-1.9590,-1.7673
164,2.3068,2.1325,2.5524,2.1325
165,-0.9476,-1.4604,-0.9476,-2.0159
166,2.2309,2.0476,2.0233,2.0233
167,-1.9938,-1.9938,-1.9938,-2.1125
168,1.9600,1.9600,1.9600,1.9045
169,-1.9903,-1.9903,-1.9903,-1.9903
170,2.3026,1.4725,2.7368,1.5495
171,-1.0461,-1.7138,-1.0461,-1.2220
172,2.1454,2.8322,3.0210,2.6037
173,-1.3246,-1.3246,-1.3246,-1.3246
174,1.9834,3.4518,1.9834,1.9834
175,-2.1670,-2.5804,-1.6753,-1.6753
176,2.0365,2.1219,2.8319,2.1219
177,-1.1750,-1.1750,-1.1750,-1.1750
178,2.1508,1.9608,2.4572,2.4572
179,-1.7289,-1.7289,-1.6899,-1.6899
180,2.0025,2.0731,2.0025,2.0025
181,-1.0691,-1.0691,-1.0691,-1.0691
182,2.1347,2.0324,2.9325,2.0324
183,-1.7702,-1.7702,-1.7059,-1.7059
184,1.9608,2.4735,2.0416,2.0416
185,-0.9549,-0.9549,-0.9549,-0.9549
186,1.2958,2.0417,1.2958,1.2958
187,-1.8364,-1.7305,-1.2777,-1.2777
188,1.3373,1.8607,0.9762,0.9762
189,-1.0233,-1.0233,-1.0775,-1.0775
190,1.3087,1.5133,0.8446,0.8446
191,-1.4718,-1.5272,-1.4718,-1.5272
192,2.1765,1.9592,1.7745,1.7745
193,-0.7606,0.4109,-1.2033,-1.2033
194,1.6048,2.1659,1.3248,1.3248
195,-0.5908,-0.5908,-0.5908,-0.5908
196,0.9714,1.3016,0.9714,0.9714
197,-0.8483,-0.8483,-0.8483,-0.8483
198,1.6188,1.6188,1.6188,2.1607
199,-0.6115,-0.6115,0.3154,0.3154
200,1.3007,1.5640,1.3007,1.3007
201,-0.6325,-0.6325,-0.6325,-0.6325
202,1.8101,1.9760,1.8101,1.8101
203,-0.6272,-0.6272,-0.6272,-0.6584
204,1.5399,1.4671,0.9171,0.9171
205,-0.3145,-0.3145,0.5617,0.5617
206,1.5784,2.0960,2.0960,2.0960
207,-0.2841,-0.2841,-0.3480,-0.3480
208,2.1091,2.5237,2.7820,2.5237
209,-0.8626,-0.8229,-0.8229,-0.8626
210,1.8872,1.7882,2.3049,1.7882
211,-0.6190,-0.6190,-0.6190,-0.6190
212,1.6376,2.7639,1.6376,1.6376
213,-0.5567,-0.5567,-0.5567,-0.5567
214,1.9171,1.8434,2.5914,2.1789
215,-0.4445,-0.4445,-0.4445,-0.4445
216,1.9656,2.3888,2.3888,2.0806
217,-0.5648,-0.5648,-0.5648,-0.5648
218,2.1694,2.5780,2.6234,2.5780
219,0.4482,0.4482,0.4482,0.4482
220,1.3535,1.5415,1.3729,1.3729
221,-0.6728,-0.6728,-0.6728,-1.0632
222,1.5000,1.4811,1.6800,1.4811
223,-0.5096,-0.5096,-0.5096,-0.5096
224,1.3301,1.4218,1.4227,1.8267
225,-1.2737,-1.2737,-1.2737,-1.2737
226,1.1770,1.1770,1.1733,1.5298
227,-0.2652,-0.2652,-0.2652,-0.4639
228,3.9994,-3.9395,-5.0306,5.6682
229,-2.4594,2.4594,-6.8207,7.0470
230,1.2254,-1.2254,-4.7680,4.7515
231,2.2478,-2.2478,-2.1851,2.1851
