stem,modo,baud,gain,fec_repeat,bytes,acerto_bits,bloco_ok,pico_rx,rms_rx
20260903-194719-spk20-g0.5-A2B,mary,100,0.5,1,48,87.26,1,0.0895,0.0117
20260903-194853-spk20-g0.5-A2B,mary,100,0.5,1,48,85.35,1,0.0967,0.0102
20260903-195028-spk20-g0.5-A2B,mary,100,0.5,1,48,85.76,0,0.0614,0.0109
20260903-195247-spk10-g0.5-A2B,mary,100,0.5,1,48,80.93,0,0.1562,0.0055
20260903-195422-spk10-g0.5-A2B,mary,100,0.5,1,48,72.52,0,0.2094,0.019
20260903-195557-spk10-g0.5-A2B,mary,100,0.5,1,48,86.51,1,0.0862,0.0066
20260903-195822-spk20-g1.0-A2B,mary,100,1.0,1,48,82.93,0,0.0808,0.0115
20260903-195956-spk20-g1.0-A2B,mary,100,1.0,1,48,90.76,1,0.0889,0.0123
20260903-200131-spk20-g1.0-A2B,mary,100,1.0,1,48,85.93,1,0.1249,0.0182
20260903-200309-spk20-g0.25-A2B,mary,100,0.25,1,48,85.85,1,0.079,0.0099
20260903-200444-spk20-g0.25-A2B,mary,100,0.25,1,48,77.94,0,0.1799,0.0145
20260903-200619-spk20-g0.25-A2B,mary,100,0.25,1,48,83.26,0,0.1274,0.0074
