variante,ber,trials,integros
1/2 hard,0.02,200,199
1/2 hard,0.03,200,198
1/2 hard,0.04,200,187
1/2 hard,0.05,200,167
1/2 hard,0.06,200,121
1/2 hard,0.07,200,67
1/2 hard,0.08,200,26
1/2 hard,0.09,200,10
1/2 hard,0.1,200,5
1/2 hard,0.11,200,0
1/2 hard,0.12,200,0
1/2 hard,0.13,200,0
1/2 hard,0.14,200,0
1/2 hard,0.15,200,0
1/2 hard,0.16,200,0
1/2 hard,0.17,200,0
1/2 hard,0.18,200,0
1/2 hard,0.19,200,0
1/2 hard,0.2,200,0
1/2 hard,0.21,200,0
1/2 hard,0.22,200,0
1/2 hard,0.23,200,0
1/2 hard,0.24,200,0
1/2 hard,0.25,200,0
1/2 hard,0.26,200,0
1/2 hard,0.27,200,0
1/2 hard,0.28,200,0
1/2 hard,0.29,200,0
1/2 hard,0.3,200,0
1/2 hard,0.31,200,0
1/2 hard,0.32,200,0
1/2 hard,0.33,200,0
1/2 hard,0.34,200,0
1/2 hard,0.35,200,0
1/2 hard,0.36,200,0
1/2 hard,0.37,200,0
1/2 hard,0.38,200,0
1/2 hard,0.39,200,0
1/2 hard,0.4,200,0
1/2 soft,0.02,200,200
1/2 soft,0.03,200,200
1/2 soft,0.04,200,200
1/2 soft,0.05,200,200
1/2 soft,0.06,200,199
1/2 soft,0.07,200,198
1/2 soft,0.08,200,193
1/2 soft,0.09,200,184
1/2 soft,0.1,200,151
1/2 soft,0.11,200,125
1/2 soft,0.12,200,69
1/2 soft,0.13,200,29
1/2 soft,0.14,200,5
1/2 soft,0.15,200,1
1/2 soft,0.16,200,0
1/2 soft,0.17,200,0
1/2 soft,0.18,200,0
1/2 soft,0.19,200,0
1/2 soft,0.2,200,0
1/2 soft,0.21,200,0
1/2 soft,0.22,200,0
1/2 soft,0.23,200,0
1/2 soft,0.24,200,0
1/2 soft,0.25,200,0
1/2 soft,0.26,200,0
1/2 soft,0.27,200,0
1/2 soft,0.28,200,0
1/2 soft,0.29,200,0
1/2 soft,0.3,200,0
1/2 soft,0.31,200,0
1/2 soft,0.32,200,0
1/2 soft,0.33,200,0
1/2 soft,0.34,200,0
1/2 soft,0.35,200,0
1/2 soft,0.36,200,0
1/2 soft,0.37,200,0
1/2 soft,0.38,200,0
1/2 soft,0.39,200,0
1/2 soft,0.4,200,0
1/3 soft,0.02,200,200
1/3 soft,0.03,200,200
1/3 soft,0.04,200,200
1/3 soft,0.05,200,200
1/3 soft,0.06,200,200
1/3 soft,0.07,200,200
1/3 soft,0.08,200,200
1/3 soft,0.09,200,200
1/3 soft,0.1,200,200
1/3 soft,0.11,200,199
1/3 soft,0.12,200,195
1/3 soft,0.13,200,196
1/3 soft,0.14,200,187
1/3 soft,0.15,200,164
1/3 soft,0.16,200,158
1/3 soft,0.17,200,114
1/3 soft,0.18,200,71
1/3 soft,0.19,200,32
1/3 soft,0.2,200,15
1/3 soft,0.21,200,4
1/3 soft,0.22,200,0
1/3 soft,0.23,200,0
1/3 soft,0.24,200,0
1/3 soft,0.25,200,0
1/3 soft,0.26,200,0
1/3 soft,0.27,200,0
1/3 soft,0.28,200,0
1/3 soft,0.29,200,0
1/3 soft,0.3,200,0
1/3 soft,0.31,200,0
1/3 soft,0.32,200,0
1/3 soft,0.33,200,0
1/3 soft,0.34,200,0
1/3 soft,0.35,200,0
1/3 soft,0.36,200,0
1/3 soft,0.37,200,0
1/3 soft,0.38,200,0
1/3 soft,0.39,200,0
1/3 soft,0.4,200,0
1/3 soft r=2,0.02,200,200
1/3 soft r=2,0.03,200,200
1/3 soft r=2,0.04,200,200
1/3 soft r=2,0.05,200,200
1/3 soft r=2,0.06,200,200
1/3 soft r=2,0.07,200,200
1/3 soft r=2,0.08,200,200
1/3 soft r=2,0.09,200,200
1/3 soft r=2,0.1,200,200
1/3 soft r=2,0.11,200,200
1/3 soft r=2,0.12,200,200
1/3 soft r=2,0.13,200,200
1/3 soft r=2,0.14,200,200
1/3 soft r=2,0.15,200,200
1/3 soft r=2,0.16,200,200
1/3 soft r=2,0.17,200,200
1/3 soft r=2,0.18,200,200
1/3 soft r=2,0.19,200,200
1/3 soft r=2,0.2,200,199
1/3 soft r=2,0.21,200,195
1/3 soft r=2,0.22,200,186
1/3 soft r=2,0.23,200,181
1/3 soft r=2,0.24,200,155
1/3 soft r=2,0.25,200,117
1/3 soft r=2,0.26,200,69
1/3 soft r=2,0.27,200,24
1/3 soft r=2,0.28,200,6
1/3 soft r=2,0.29,200,0
1/3 soft r=2,0.3,200,0
1/3 soft r=2,0.31,200,0
1/3 soft r=2,0.32,200,0
1/3 soft r=2,0.33,200,0
1/3 soft r=2,0.34,200,0
1/3 soft r=2,0.35,200,0
1/3 soft r=2,0.36,200,0
1/3 soft r=2,0.37,200,0
1/3 soft r=2,0.38,200,0
1/3 soft r=2,0.39,200,0
1/3 soft r=2,0.4,200,0
