recording,mode,gain,repeat,bytes,gap,band,link,label,rms,peak,airtime_s,gate_bits,gate_block,sweep_bits,sweep_block,period,block,bits,group
20260903-111114-gain0.2,mary,0.2,1,48,0.0,0.0,bluetooth,gain0.2,0.0716,0.3558,4.49,88.84,1,91.17,1,479.993,1,91.17,0.2
20260903-111122-gain0.2,mary,0.2,1,48,0.0,0.0,bluetooth,gain0.2,0.073,0.346,4.49,88.43,0,93.09,1,480.0,1,93.09,0.2
20260903-111130-gain0.2,mary,0.2,1,48,0.0,0.0,bluetooth,gain0.2,0.0721,0.3696,4.49,87.68,1,90.42,1,480.074,1,90.42,0.2
20260903-111138-gain0.2,mary,0.2,1,48,0.0,0.0,bluetooth,gain0.2,0.0708,0.3926,4.49,86.18,1,88.59,1,479.975,1,88.59,0.2
20260903-111146-gain0.2,mary,0.2,1,48,0.0,0.0,bluetooth,gain0.2,0.0711,0.3622,4.49,90.01,0,90.09,1,480.067,1,90.09,0.2
20260903-111154-gain0.2,mary,0.2,1,48,0.0,0.0,bluetooth,gain0.2,0.073,0.3745,4.49,88.34,0,91.51,1,479.903,1,91.51,0.2
20260903-111204-gain0.25,mary,0.25,1,48,0.0,0.0,bluetooth,gain0.25,0.0889,0.4907,4.49,88.43,1,91.42,1,479.928,1,91.42,0.25
20260903-111212-gain0.25,mary,0.25,1,48,0.0,0.0,bluetooth,gain0.25,0.0888,0.4442,4.49,88.76,1,91.17,1,479.912,1,91.17,0.25
20260903-111220-gain0.25,mary,0.25,1,48,0.0,0.0,bluetooth,gain0.25,0.0909,0.4358,4.49,87.59,0,91.26,1,479.885,1,91.26,0.25
20260903-111228-gain0.25,mary,0.25,1,48,0.0,0.0,bluetooth,gain0.25,0.0892,0.4141,4.49,85.68,0,90.17,1,480.042,1,90.17,0.25
20260903-111236-gain0.25,mary,0.25,1,48,0.0,0.0,bluetooth,gain0.25,0.0895,0.4638,4.49,89.84,0,90.92,0,479.954,0,90.92,0.25
20260903-111244-gain0.25,mary,0.25,1,48,0.0,0.0,bluetooth,gain0.25,0.0882,0.4176,4.49,88.34,0,89.09,1,480.021,1,89.09,0.25
20260903-111254-gain0.3,mary,0.3,1,48,0.0,0.0,bluetooth,gain0.3,0.1066,0.5058,4.49,93.26,1,94.0,1,480.005,1,94.0,0.3
20260903-111302-gain0.3,mary,0.3,1,48,0.0,0.0,bluetooth,gain0.3,0.1069,0.5203,4.49,89.26,1,90.76,1,480.028,1,90.76,0.3
20260903-111310-gain0.3,mary,0.3,1,48,0.0,0.0,bluetooth,gain0.3,0.1077,0.6446,4.49,89.59,0,91.09,1,479.954,1,91.09,0.3
20260903-111318-gain0.3,mary,0.3,1,48,0.0,0.0,bluetooth,gain0.3,0.1083,0.5391,4.49,88.51,1,90.42,1,479.945,1,90.42,0.3
20260903-111326-gain0.3,mary,0.3,1,48,0.0,0.0,bluetooth,gain0.3,0.1071,0.5713,4.49,91.09,1,92.01,1,479.912,1,92.01,0.3
20260903-111334-gain0.3,mary,0.3,1,48,0.0,0.0,bluetooth,gain0.3,0.1068,0.6073,4.49,89.18,1,90.84,1,480.18,1,90.84,0.3
20260903-111344-gain0.38,mary,0.38,1,48,0.0,0.0,bluetooth,gain0.38,0.1358,0.6592,4.49,89.51,1,93.01,1,479.958,1,93.01,0.38
20260903-111352-gain0.38,mary,0.38,1,48,0.0,0.0,bluetooth,gain0.38,0.1351,0.6462,4.49,87.93,1,89.34,1,480.035,1,89.34,0.38
20260903-111400-gain0.38,mary,0.38,1,48,0.0,0.0,bluetooth,gain0.38,0.1352,0.6755,4.49,88.68,1,91.76,1,479.952,1,91.76,0.38
20260903-111408-gain0.38,mary,0.38,1,48,0.0,0.0,bluetooth,gain0.38,0.1346,0.6425,4.49,85.6,1,86.59,1,480.03,1,86.59,0.38
20260903-111416-gain0.38,mary,0.38,1,48,0.0,0.0,bluetooth,gain0.38,0.134,0.6952,4.49,87.34,0,89.18,1,479.956,1,89.18,0.38
20260903-111424-gain0.38,mary,0.38,1,48,0.0,0.0,bluetooth,gain0.38,0.1338,0.6306,4.49,90.09,1,89.76,1,480.127,1,89.76,0.38
