recording,mode,gain,repeat,bytes,gap,band,link,label,rms,peak,airtime_s,gate_bits,gate_block,sweep_bits,sweep_block,period,block,bits,group
20260903-111527-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1137,0.6227,7.41,88.78,1,90.22,1,480.026,1,90.22,unico
20260903-111538-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1158,0.5381,7.41,89.29,1,90.26,1,479.928,1,90.26,unico
20260903-111549-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1125,0.5437,7.41,90.3,1,90.76,1,479.979,1,90.76,unico
20260903-111559-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1135,0.5451,7.41,88.87,1,89.71,1,480.073,1,89.71,unico
20260903-111610-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1153,0.5469,7.41,89.79,1,90.26,1,479.946,1,90.26,unico
20260903-111621-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1111,0.5152,7.41,85.49,1,88.57,1,479.996,1,88.57,unico
20260903-111632-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1137,0.5645,7.41,88.11,0,90.55,1,480.076,1,90.55,unico
20260903-111643-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1143,0.5561,7.41,90.81,1,91.4,1,479.966,1,91.4,unico
20260903-111654-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1138,0.5667,7.41,89.58,1,90.97,1,480.011,1,90.97,unico
20260903-111704-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1146,0.5456,7.41,89.25,1,90.09,1,480.092,1,90.09,unico
20260903-111715-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1154,0.5523,7.41,88.87,1,90.55,1,479.927,1,90.55,unico
20260903-111726-melhor-caso-mary,mary,0.3,2,48,0.0,0.0,bluetooth,melhor-caso-mary,0.1134,0.5419,7.41,88.27,1,90.89,1,479.977,1,90.89,unico
