recording,mode,gain,repeat,bytes,gap,band,link,label,rms,peak,airtime_s,gate_bits,gate_block,sweep_bits,sweep_block,period,block,bits,group
20260903-111900-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1071,0.5148,4.49,87.34,1,90.67,1,479.965,1,90.67,1
20260903-111908-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1053,0.5659,4.49,86.34,0,90.34,1,480.042,1,90.34,1
20260903-111916-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1067,0.5291,4.49,89.43,0,92.76,1,480.062,1,92.76,1
20260903-111924-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1095,0.5311,4.49,89.01,0,91.92,1,480.016,1,91.92,1
20260903-111932-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1065,0.4897,4.49,88.51,1,91.09,1,480.03,1,91.09,1
20260903-111939-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1065,0.6217,4.49,88.09,1,89.93,1,479.933,1,89.93,1
20260903-111947-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1072,0.5452,4.49,90.42,1,91.42,1,479.954,1,91.42,1
20260903-111955-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.108,0.5274,4.49,86.51,1,90.01,1,479.868,1,90.01,1
20260903-112003-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1084,0.5078,4.49,91.59,1,93.26,1,479.917,1,93.26,1
20260903-112011-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1065,0.5009,4.49,89.68,1,91.84,1,479.986,1,91.84,1
20260903-112019-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1101,0.5426,4.49,92.26,1,93.26,1,479.961,1,93.26,1
20260903-112027-repeat1,mary,0.3,1,48,0.0,0.0,bluetooth,repeat1,0.1079,0.5218,4.49,87.34,1,89.09,1,479.975,1,89.09,1
20260903-112040-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1151,0.5271,7.41,90.89,1,91.99,1,479.971,1,91.99,2
20260903-112051-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1161,0.5474,7.41,88.91,1,90.89,1,479.978,1,90.89,2
20260903-112102-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1158,0.582,7.41,91.52,1,92.62,1,480.023,1,92.62,2
20260903-112113-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1136,0.5948,7.41,87.56,0,91.69,1,479.949,1,91.69,2
20260903-112124-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.112,0.6045,7.41,88.87,1,89.2,1,480.044,1,89.2,2
20260903-112134-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1134,0.5437,7.41,88.27,0,89.16,1,480.07,1,89.16,2
20260903-112145-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1135,0.5696,7.41,87.14,1,89.79,1,479.908,1,89.79,2
20260903-112156-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1172,0.5502,7.41,89.08,1,91.44,1,479.905,1,91.44,2
20260903-112207-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1158,0.5744,7.41,89.03,1,90.85,1,480.099,1,90.85,2
20260903-112218-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1143,0.5545,7.41,88.27,1,89.88,1,479.997,1,89.88,2
20260903-112229-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1152,0.6481,7.41,89.88,0,92.49,1,480.046,1,92.49,2
20260903-112240-repeat2,mary,0.3,2,48,0.0,0.0,bluetooth,repeat2,0.1135,0.5333,7.41,87.18,0,90.05,1,480.084,1,90.05,2
