recording,mode,gain,repeat,bytes,gap,band,link,label,rms,peak,airtime_s,gate_bits,gate_block,sweep_bits,sweep_block,period,block,bits,group
20260903-122530-gain0.1,mary,0.1,1,48,0.0,0.0,wired,gain0.1,0.0379,0.1592,4.49,97.59,1,93.76,1,480.0,1,93.76,0.1
20260903-122538-gain0.1,mary,0.1,1,48,0.0,0.0,wired,gain0.1,0.0393,0.2015,4.49,93.01,0,98.0,1,479.758,1,98.0,0.1
20260903-122546-gain0.1,mary,0.1,1,48,0.0,0.0,wired,gain0.1,0.0461,0.4111,4.49,97.59,1,96.5,1,479.82,1,96.5,0.1
20260903-122554-gain0.1,mary,0.1,1,48,0.0,0.0,wired,gain0.1,0.0374,0.1677,4.49,98.42,1,98.17,1,479.82,1,98.17,0.1
20260903-122602-gain0.1,mary,0.1,1,48,0.0,0.0,wired,gain0.1,0.0746,1.0,4.49,98.25,1,97.17,1,479.82,1,97.17,0.1
20260903-122610-gain0.1,mary,0.1,1,48,0.0,0.0,wired,gain0.1,0.0394,0.1709,4.49,99.33,1,99.08,1,480.0,1,99.08,0.1
20260903-122620-gain0.2,mary,0.2,1,48,0.0,0.0,wired,gain0.2,0.0794,0.3388,4.49,98.67,1,98.0,1,479.82,1,98.0,0.2
20260903-122628-gain0.2,mary,0.2,1,48,0.0,0.0,wired,gain0.2,0.079,0.3324,4.49,99.0,1,97.25,1,479.82,1,97.25,0.2
20260903-122636-gain0.2,mary,0.2,1,48,0.0,0.0,wired,gain0.2,0.0781,0.3264,4.49,98.33,1,97.5,1,479.82,1,97.5,0.2
20260903-122644-gain0.2,mary,0.2,1,48,0.0,0.0,wired,gain0.2,0.0799,0.3227,4.49,97.84,1,98.17,1,479.82,1,98.17,0.2
20260903-122652-gain0.2,mary,0.2,1,48,0.0,0.0,wired,gain0.2,0.0796,0.3481,4.49,98.83,1,98.17,1,479.82,1,98.17,0.2
20260903-122700-gain0.2,mary,0.2,1,48,0.0,0.0,wired,gain0.2,0.0795,0.3789,4.49,98.83,1,98.08,1,479.82,1,98.08,0.2
20260903-122710-gain0.3,mary,0.3,1,48,0.0,0.0,wired,gain0.3,0.1187,0.5662,4.49,96.17,1,96.75,1,479.82,1,96.75,0.3
20260903-122718-gain0.3,mary,0.3,1,48,0.0,0.0,wired,gain0.3,0.1187,0.5355,4.49,97.59,1,97.34,1,479.818,1,97.34,0.3
20260903-122726-gain0.3,mary,0.3,1,48,0.0,0.0,wired,gain0.3,0.1201,0.5254,4.49,98.42,1,94.59,1,480.0,1,94.59,0.3
20260903-122734-gain0.3,mary,0.3,1,48,0.0,0.0,wired,gain0.3,0.1225,0.5478,4.49,98.25,1,91.92,1,480.0,1,91.92,0.3
20260903-122742-gain0.3,mary,0.3,1,48,0.0,0.0,wired,gain0.3,0.1199,0.5533,4.49,96.42,0,92.67,1,480.0,1,92.67,0.3
20260903-122750-gain0.3,mary,0.3,1,48,0.0,0.0,wired,gain0.3,0.1264,0.7554,4.49,98.5,1,93.59,1,480.0,1,93.59,0.3
20260903-122800-gain0.45,mary,0.45,1,48,0.0,0.0,wired,gain0.45,0.1761,0.7819,4.49,97.84,1,91.26,1,480.0,1,91.26,0.45
20260903-122808-gain0.45,mary,0.45,1,48,0.0,0.0,wired,gain0.45,0.1665,0.8873,4.49,98.17,1,93.17,1,480.0,1,93.17,0.45
20260903-122816-gain0.45,mary,0.45,1,48,0.0,0.0,wired,gain0.45,0.175,0.8329,4.49,97.09,0,94.84,1,480.0,1,94.84,0.45
20260903-122824-gain0.45,mary,0.45,1,48,0.0,0.0,wired,gain0.45,0.1703,0.788,4.49,98.92,1,95.67,1,480.0,1,95.67,0.45
20260903-122832-gain0.45,mary,0.45,1,48,0.0,0.0,wired,gain0.45,0.1723,0.8584,4.49,98.5,1,91.51,1,480.0,1,91.51,0.45
20260903-122840-gain0.45,mary,0.45,1,48,0.0,0.0,wired,gain0.45,0.1696,0.8474,4.49,95.5,0,90.09,1,480.0,1,90.09,0.45
