recording,mode,gain,repeat,bytes,gap,band,link,label,rms,peak,airtime_s,gate_bits,gate_block,sweep_bits,sweep_block,period,block,bits,group
20260903-122942-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0814,0.3598,4.49,93.59,0,92.67,1,480.0,1,92.67,1
20260903-122950-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0802,0.3604,4.49,96.75,0,89.26,0,480.0,0,89.26,1
20260903-122958-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0825,0.3619,4.49,97.34,0,95.09,1,480.0,1,95.09,1
20260903-123006-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.084,0.3849,4.49,96.75,0,93.51,1,480.0,1,93.51,1
20260903-123013-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0826,0.3773,4.49,96.84,1,92.34,1,480.0,1,92.34,1
20260903-123021-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0804,0.3536,4.49,95.34,0,91.92,1,480.0,1,91.92,1
20260903-123029-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.082,0.4073,4.49,96.5,0,94.5,1,480.0,1,94.5,1
20260903-123037-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0839,0.3681,4.49,96.17,0,92.34,1,480.0,1,92.34,1
20260903-123045-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0794,0.3609,4.49,95.09,0,91.76,1,480.0,1,91.76,1
20260903-123053-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0822,0.3579,4.49,94.67,0,92.26,1,480.0,1,92.26,1
20260903-123101-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0794,0.3422,4.49,93.34,0,92.84,1,480.0,1,92.84,1
20260903-123109-repeat1,mary,0.2,1,48,0.0,0.0,wired,repeat1,0.0818,0.3747,4.49,92.59,0,92.84,1,480.0,1,92.84,1
20260903-123122-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0809,0.3916,7.41,96.75,0,91.94,0,480.0,0,91.94,2
20260903-123133-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0813,0.3922,7.41,96.58,1,89.41,1,480.0,1,89.41,2
20260903-123144-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0823,0.3932,7.41,95.99,0,90.93,1,480.0,1,90.93,2
20260903-123155-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0814,0.3783,7.41,95.7,0,93.21,1,480.0,1,93.21,2
20260903-123205-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0819,0.3775,7.41,94.69,0,91.61,1,480.0,1,91.61,2
20260903-123216-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.079,0.3572,7.41,95.53,0,91.48,1,480.0,1,91.48,2
20260903-123227-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0816,0.3962,7.41,94.77,0,92.75,1,480.0,1,92.75,2
20260903-123238-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0808,0.3878,7.41,92.41,0,91.19,1,480.0,1,91.19,2
20260903-123249-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0799,0.3903,7.41,95.99,0,90.43,1,480.0,1,90.43,2
20260903-123300-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0796,0.4192,7.41,95.36,0,91.35,1,480.0,1,91.35,2
20260903-123311-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0773,0.407,7.41,95.74,0,90.38,1,480.0,1,90.38,2
20260903-123321-repeat2,mary,0.2,2,48,0.0,0.0,wired,repeat2,0.0838,0.3995,7.41,97.05,1,90.51,1,480.0,1,90.51,2
